layer,category,category_type,subcategory,weight
fp_mpa,ecological,regulatory,fishing_pressure,1
fp_fishing_gear,ecological,regulatory,fishing_pressure,1
wgi_bali,social,social,social,1
spi_bali,social,social,social,1
g_addition_mariculture,ecological,ecosystem,goal,1
g_government_support,ecological,regulatory,goal,1
g_mariculture_regulation,ecological,regulatory,goal,1
g_gear_diversity,ecological,ecosystem,goal,1
hd_mangrove_communities,ecological,regulatory,habitat_destruction,1
hd_mangrove_management,ecological,regulatory,habitat_destruction,1
hd_status_kawasan_mangrove,ecological,regulatory,habitat_destruction,1
hd_habitat_rehabilitation,ecological,regulatory,habitat_destruction,1
hd_coral_communities,ecological,regulatory,habitat_destruction,1
g_coral_biodiversity,ecological,ecosystem,goal,1
g_seagrass_biodiversity,ecological,ecosystem,goal,1
g_tourism_awarness_village,ecological,ecosystem,goal,1
hd_coral_transplation,ecological,ecosystem,habitat_destruction,1
hd_coral_enforcement,ecological,regulatory,habitat_destruction,1
g_megafauna,ecological,ecosystem,goal,1
