goal,element,fp_mpa,fp_fishing_gear,wgi_bali,spi_bali,g_addition_mariculture,g_government_support,g_mariculture_regulation,g_gear_diversity,hd_mangrove_communities,hd_mangrove_management,hd_status_kawasan_mangrove,hd_habitat_rehabilitation,hd_coral_communities,g_coral_biodiversity,g_seagrass_biodiversity,g_tourism_awarness_village,hd_coral_transplation,hd_coral_enforcement,g_megafauna
FIS,,x,x,x,x,,,,,,,,,,,,,,,
MAR,,,,x,x,x,x,x,,,,,,,,,,,,
FP,,x,x,x,x,x,x,x,,,,,,,,,,,,
AO,,x,x,x,x,,,,x,,,,,,,,,,,
CP,coral,x,,x,x,,,,,,,,x,x,x,,,,,
CP,mangrove,x,,x,x,,,,,x,x,x,x,,,,,,,
CP,seagrass,x,,x,x,,,,,,,,x,,,x,,,,
CS,mangrove,x,,x,x,,,,,x,x,x,x,,,,,,,
CS,seagrass,x,,x,x,,,,,,,,x,,,x,,,,
HAB,coral,x,,x,x,,,,,,,,x,x,x,,,,,
HAB,seagrass,x,,x,x,,,,,,,,x,,,x,,,,
HAB,mangrove,x,,x,x,,,,,x,x,x,x,,,,,,,
SPP,,x,,x,x,,,,,x,x,x,x,x,x,x,,x,x,
BD,,x,,x,x,,,,,x,x,x,x,x,x,x,,x,x,
TR,,x,,x,x,,,,,,,,,x,x,,x,,,
ICO,,x,,x,x,,,,,,,,,,,,,,,x
LSP,,x,,x,x,,,,,x,x,x,x,x,x,x,,x,x,
SP,,x,,x,x,,,,,x,x,x,x,x,x,x,,x,x,x
NP,,,,x,x,x,x,x,,,,,x,,,,,,,
CW,,x,,x,x,,,,,x,x,x,x,x,,,,x,x,
