layer_name,scenario_year,data_year
fis_catch,2000,2000
fis_catch,2001,2001
fis_catch,2002,2002
fis_catch,2003,2003
fis_catch,2004,2004
fis_catch,2005,2005
fis_catch,2006,2006
fis_catch,2007,2007
fis_catch,2008,2008
fis_catch,2009,2009
fis_catch,2010,2010
fis_catch,2011,2011
fis_catch,2012,2012
fis_catch,2013,2013
fis_catch,2014,2014
fis_catch,2015,2015
fis_catch,2016,2016
fis_effort,2000,2000
fis_effort,2001,2001
fis_effort,2002,2002
fis_effort,2003,2003
fis_effort,2004,2004
fis_effort,2005,2005
fis_effort,2006,2006
fis_effort,2007,2007
fis_effort,2008,2008
fis_effort,2009,2009
fis_effort,2010,2010
fis_effort,2011,2011
fis_effort,2012,2012
fis_effort,2013,2013
fis_effort,2014,2014
fis_effort,2015,2015
fis_effort,2016,2016
fis_msy,2000,2000
fis_msy,2001,2001
fis_msy,2002,2002
fis_msy,2003,2003
fis_msy,2004,2004
fis_msy,2005,2005
fis_msy,2006,2006
fis_msy,2007,2007
fis_msy,2008,2008
fis_msy,2009,2009
fis_msy,2010,2010
fis_msy,2011,2011
fis_msy,2012,2012
fis_msy,2013,2013
fis_msy,2014,2014
fis_msy,2015,2015
fis_msy,2016,2016
cc_sst,2012,2012
cc_sst,2013,2013
cc_sst,2014,2014
cc_sst,2015,2015
cc_sst,2016,2016
ss_spi,2016,2016
ss_wgi,2016,2016
mar_extent,2006,2006
mar_extent,2007,2007
mar_extent,2008,2008
mar_extent,2009,2009
mar_extent,2010,2010
mar_extent,2011,2011
mar_extent,2012,2012
mar_extent,2013,2013
mar_extent,2014,2014
mar_extent,2015,2015
mar_extent,2016,2016
mar_production,2000,2000
mar_production,2001,2001
mar_production,2002,2002
mar_production,2003,2003
mar_production,2004,2004
mar_production,2005,2005
mar_production,2006,2006
mar_production,2007,2007
mar_production,2008,2008
mar_production,2009,2009
mar_production,2010,2010
mar_production,2011,2011
mar_production,2012,2012
mar_production,2013,2013
mar_production,2014,2014
mar_production,2015,2015
mar_production,2016,2016
ao_banyar,2005,2005
ao_banyar,2006,2006
ao_banyar,2007,2007
ao_banyar,2008,2008
ao_banyar,2009,2009
ao_banyar,2010,2010
ao_banyar,2011,2011
ao_banyar,2012,2012
ao_banyar,2013,2013
ao_banyar,2014,2014
ao_banyar,2015,2015
ao_banyar_msy,2000,2000
ao_banyar_msy,2001,2001
ao_banyar_msy,2002,2002
ao_banyar_msy,2003,2003
ao_banyar_msy,2004,2004
ao_banyar_msy,2005,2005
ao_banyar_msy,2006,2006
ao_banyar_msy,2007,2007
ao_banyar_msy,2008,2008
ao_banyar_msy,2009,2009
ao_banyar_msy,2010,2010
ao_banyar_msy,2011,2011
ao_banyar_msy,2012,2012
ao_banyar_msy,2013,2013
ao_banyar_msy,2014,2014
ao_banyar_msy,2015,2015
ao_gulamah,2000,2000
ao_gulamah,2001,2001
ao_gulamah,2002,2002
ao_gulamah,2003,2003
ao_gulamah,2004,2004
ao_gulamah,2005,2005
ao_gulamah,2006,2006
ao_gulamah,2007,2007
ao_gulamah,2008,2008
ao_gulamah,2009,2009
ao_gulamah,2010,2010
ao_gulamah,2011,2011
ao_gulamah,2012,2012
ao_gulamah,2013,2013
ao_gulamah,2014,2014
ao_gulamah,2015,2015
ao_gulamah_msy,2000,2000
ao_gulamah_msy,2001,2001
ao_gulamah_msy,2002,2002
ao_gulamah_msy,2003,2003
ao_gulamah_msy,2004,2004
ao_gulamah_msy,2005,2005
ao_gulamah_msy,2006,2006
ao_gulamah_msy,2007,2007
ao_gulamah_msy,2008,2008
ao_gulamah_msy,2009,2009
ao_gulamah_msy,2010,2010
ao_gulamah_msy,2011,2011
ao_gulamah_msy,2012,2012
ao_gulamah_msy,2013,2013
ao_gulamah_msy,2014,2014
ao_gulamah_msy,2015,2015
ao_terbang,2000,2000
ao_terbang,2001,2001
ao_terbang,2002,2002
ao_terbang,2003,2003
ao_terbang,2004,2004
ao_terbang,2005,2005
ao_terbang,2006,2006
ao_terbang,2007,2007
ao_terbang,2008,2008
ao_terbang,2009,2009
ao_terbang,2010,2010
ao_terbang,2011,2011
ao_terbang,2012,2012
ao_terbang,2013,2013
ao_terbang,2014,2014
ao_terbang,2015,2015
ao_terbang_msy,2000,2000
ao_terbang_msy,2001,2001
ao_terbang_msy,2002,2002
ao_terbang_msy,2003,2003
ao_terbang_msy,2004,2004
ao_terbang_msy,2005,2005
ao_terbang_msy,2006,2006
ao_terbang_msy,2007,2007
ao_terbang_msy,2008,2008
ao_terbang_msy,2009,2009
ao_terbang_msy,2010,2010
ao_terbang_msy,2011,2011
ao_terbang_msy,2012,2012
ao_terbang_msy,2013,2013
ao_terbang_msy,2014,2014
ao_terbang_msy,2015,2015
ao_kakap,2000,2000
ao_kakap,2001,2001
ao_kakap,2002,2002
ao_kakap,2003,2003
ao_kakap,2004,2004
ao_kakap,2005,2005
ao_kakap,2006,2006
ao_kakap,2007,2007
ao_kakap,2008,2008
ao_kakap,2009,2009
ao_kakap,2010,2010
ao_kakap,2011,2011
ao_kakap,2012,2012
ao_kakap,2013,2013
ao_kakap,2014,2014
ao_kakap,2015,2015
ao_kakap_msy,2000,2000
ao_kakap_msy,2001,2001
ao_kakap_msy,2002,2002
ao_kakap_msy,2003,2003
ao_kakap_msy,2004,2004
ao_kakap_msy,2005,2005
ao_kakap_msy,2006,2006
ao_kakap_msy,2007,2007
ao_kakap_msy,2008,2008
ao_kakap_msy,2009,2009
ao_kakap_msy,2010,2010
ao_kakap_msy,2011,2011
ao_kakap_msy,2012,2012
ao_kakap_msy,2013,2013
ao_kakap_msy,2014,2014
ao_kakap_msy,2015,2015
ao_kembung,2000,2000
ao_kembung,2001,2001
ao_kembung,2002,2002
ao_kembung,2003,2003
ao_kembung,2004,2004
ao_kembung,2005,2005
ao_kembung,2006,2006
ao_kembung,2007,2007
ao_kembung,2008,2008
ao_kembung,2009,2009
ao_kembung,2010,2010
ao_kembung,2011,2011
ao_kembung,2012,2012
ao_kembung,2013,2013
ao_kembung,2014,2014
ao_kembung,2015,2015
ao_kembung_msy,2000,2000
ao_kembung_msy,2001,2001
ao_kembung_msy,2002,2002
ao_kembung_msy,2003,2003
ao_kembung_msy,2004,2004
ao_kembung_msy,2005,2005
ao_kembung_msy,2006,2006
ao_kembung_msy,2007,2007
ao_kembung_msy,2008,2008
ao_kembung_msy,2009,2009
ao_kembung_msy,2010,2010
ao_kembung_msy,2011,2011
ao_kembung_msy,2012,2012
ao_kembung_msy,2013,2013
ao_kembung_msy,2014,2014
ao_kembung_msy,2015,2015
ao_kerapu,2000,2000
ao_kerapu,2001,2001
ao_kerapu,2002,2002
ao_kerapu,2003,2003
ao_kerapu,2004,2004
ao_kerapu,2005,2005
ao_kerapu,2006,2006
ao_kerapu,2007,2007
ao_kerapu,2008,2008
ao_kerapu,2009,2009
ao_kerapu,2010,2010
ao_kerapu,2011,2011
ao_kerapu,2012,2012
ao_kerapu,2013,2013
ao_kerapu,2014,2014
ao_kerapu,2015,2015
ao_kerapu_msy,2000,2000
ao_kerapu_msy,2001,2001
ao_kerapu_msy,2002,2002
ao_kerapu_msy,2003,2003
ao_kerapu_msy,2004,2004
ao_kerapu_msy,2005,2005
ao_kerapu_msy,2006,2006
ao_kerapu_msy,2007,2007
ao_kerapu_msy,2008,2008
ao_kerapu_msy,2009,2009
ao_kerapu_msy,2010,2010
ao_kerapu_msy,2011,2011
ao_kerapu_msy,2012,2012
ao_kerapu_msy,2013,2013
ao_kerapu_msy,2014,2014
ao_kerapu_msy,2015,2015
ao_kuniran,2000,2000
ao_kuniran,2001,2001
ao_kuniran,2002,2002
ao_kuniran,2003,2003
ao_kuniran,2004,2004
ao_kuniran,2005,2005
ao_kuniran,2006,2006
ao_kuniran,2007,2007
ao_kuniran,2008,2008
ao_kuniran,2009,2009
ao_kuniran,2010,2010
ao_kuniran,2011,2011
ao_kuniran,2012,2012
ao_kuniran,2013,2013
ao_kuniran,2014,2014
ao_kuniran,2015,2015
ao_kuniran_msy,2000,2000
ao_kuniran_msy,2001,2001
ao_kuniran_msy,2002,2002
ao_kuniran_msy,2003,2003
ao_kuniran_msy,2004,2004
ao_kuniran_msy,2005,2005
ao_kuniran_msy,2006,2006
ao_kuniran_msy,2007,2007
ao_kuniran_msy,2008,2008
ao_kuniran_msy,2009,2009
ao_kuniran_msy,2010,2010
ao_kuniran_msy,2011,2011
ao_kuniran_msy,2012,2012
ao_kuniran_msy,2013,2013
ao_kuniran_msy,2014,2014
ao_kuniran_msy,2015,2015
ao_kurisi,2000,2000
ao_kurisi,2001,2001
ao_kurisi,2002,2002
ao_kurisi,2003,2003
ao_kurisi,2004,2004
ao_kurisi,2005,2005
ao_kurisi,2006,2006
ao_kurisi,2007,2007
ao_kurisi,2008,2008
ao_kurisi,2009,2009
ao_kurisi,2010,2010
ao_kurisi,2011,2011
ao_kurisi,2012,2012
ao_kurisi,2013,2013
ao_kurisi,2014,2014
ao_kurisi,2015,2015
ao_kurisi_msy,2000,2000
ao_kurisi_msy,2001,2001
ao_kurisi_msy,2002,2002
ao_kurisi_msy,2003,2003
ao_kurisi_msy,2004,2004
ao_kurisi_msy,2005,2005
ao_kurisi_msy,2006,2006
ao_kurisi_msy,2007,2007
ao_kurisi_msy,2008,2008
ao_kurisi_msy,2009,2009
ao_kurisi_msy,2010,2010
ao_kurisi_msy,2011,2011
ao_kurisi_msy,2012,2012
ao_kurisi_msy,2013,2013
ao_kurisi_msy,2014,2014
ao_kurisi_msy,2015,2015
ao_kuwe,2000,2000
ao_kuwe,2001,2001
ao_kuwe,2002,2002
ao_kuwe,2003,2003
ao_kuwe,2004,2004
ao_kuwe,2005,2005
ao_kuwe,2006,2006
ao_kuwe,2007,2007
ao_kuwe,2008,2008
ao_kuwe,2009,2009
ao_kuwe,2010,2010
ao_kuwe,2011,2011
ao_kuwe,2012,2012
ao_kuwe,2013,2013
ao_kuwe,2014,2014
ao_kuwe,2015,2015
ao_kuwe_msy,2000,2000
ao_kuwe_msy,2001,2001
ao_kuwe_msy,2002,2002
ao_kuwe_msy,2003,2003
ao_kuwe_msy,2004,2004
ao_kuwe_msy,2005,2005
ao_kuwe_msy,2006,2006
ao_kuwe_msy,2007,2007
ao_kuwe_msy,2008,2008
ao_kuwe_msy,2009,2009
ao_kuwe_msy,2010,2010
ao_kuwe_msy,2011,2011
ao_kuwe_msy,2012,2012
ao_kuwe_msy,2013,2013
ao_kuwe_msy,2014,2014
ao_kuwe_msy,2015,2015
ao_layang,2000,2000
ao_layang,2001,2001
ao_layang,2002,2002
ao_layang,2003,2003
ao_layang,2004,2004
ao_layang,2005,2005
ao_layang,2006,2006
ao_layang,2007,2007
ao_layang,2008,2008
ao_layang,2009,2009
ao_layang,2010,2010
ao_layang,2011,2011
ao_layang,2012,2012
ao_layang,2013,2013
ao_layang,2014,2014
ao_layang,2015,2015
