rgn_id,year,marine_prod_idr
4,2017,217137980000
3,2017,7300400000
2,2017,457115000
1,2017,76070680000
8,2017, NA
7,2017,3240000000
6,2017,NA
5,2017,1015929000
4,2016,223715780000
3,2016,7300400000
2,2016,457115000
1,2016,76839680000
8,2016, NA
7,2016,497662000
6,2016,NA
5,2016,1848302000
4,2015,223520780000
3,2015,6974400000
2,2015,457115000
1,2015,74109680000
8,2015, NA
7,2015,497662000
6,2015,NA
5,2015,1848302000
4,2014,219934377000
3,2014,5818400000
2,2014,192800000
1,2014,73340680000
8,2014, NA
7,2014,497662000
6,2014,NA
5,2014,1072329000
4,2013,206731389000
3,2013,5818400000
2,2013,192800000
1,2013,71960680000
8,2013, NA
7,2013,497662000
6,2013,NA
5,2013,1008329000
