variable,year,percentage,extent
mangrove_good,2011,79.47,2215.5
mangrove_moderate,2011,9.01,2215.5
mangrove_damage,2011,11.43,2215.5
coral_good,2011,41.4,7765
coral_moderate,2011,39.1,7765
coral_damage,2011,19.5,7765
seagrass_good,2011,85.01,1272
seagrass_moderate,2011,NA,1272
seagrass_damage,2011,14.99,1272
mangrove_good,2015,78.95,2225.75
mangrove_moderate,2015,NA,2225.75
mangrove_damage,2015,9.66,2225.75
coral_good,2015,NA,8836.71
coral_moderate,2015,NA,8836.71
coral_damage,2015,NA,8836.71
seagrass_good,2015,79.91,1316
seagrass_moderate,2015,NA,1316
seagrass_damage,2015,20.09,1316
mangrove_good,2007,79.47,2215.5
mangrove_moderate,2007,9.09,2215.5
mangrove_damage,2007,11.44,2215.5
coral_good,2007,47.89,7249.3
coral_moderate,2007,39.76,7249.3
coral_damage,2007,12.35,7249.3
seagrass_good,2007,NA,1420
seagrass_moderate,2007,NA,1420
seagrass_damage,2007,NA,1420
mangrove_good,2016,78.95,2225.75
mangrove_moderate,2016,9.66,2225.75
mangrove_damage,2016,11.39,2225.75
coral_good,2016,52.81,2585.36
coral_moderate,2016,38.15,2585.36
coral_damage,2016,9.04,2585.36
seagrass_good,2016,89.42,1316
seagrass_moderate,2016,NA,1316
seagrass_damage,2016,10.58,1316
mangrove_good,2013,67.93,3949.25
mangrove_moderate,2013,9.42,3949.25
mangrove_damage,2013,44.27,3949.25
coral_good,2013,50.21,6266.66
coral_moderate,2013,26.27,6266.66
coral_damage,2013,23.52,6266.66
seagrass_good,2013,NA,587.5
seagrass_moderate,2013,NA,587.5
seagrass_damage,2013,NA,587.5
mangrove_good,2012,80.4,2215.5
mangrove_moderate,2012,8.71,2215.5
mangrove_damage,2012,10.89,2215.5
coral_good,2012,44,7735
coral_moderate,2012,42.7,7735
coral_damage,2012,13.3,7735
seagrass_good,2012,85.01,1272
seagrass_moderate,2012,NA,587.5
seagrass_damage,2012,14.99,587.5
mangrove_good,2014,84.38,3323.2
mangrove_moderate,2014,NA,3323.2
mangrove_damage,2014,15.62,3323.2
coral_good,2014,52.86,6245.3
coral_moderate,2014,28.47,6245.3
coral_damage,2014,18.67,6245.3
seagrass_good,2014,62.87,1109.5
seagrass_moderate,2014,NA,1109.5
seagrass_damage,2014,37.13,1109.5
