rgn_id;years;catch_pro;;;;;;;;;;;;;;;
9;2000;55910 ;;;;;;;;;;;;;;;
9;2001;59103 ;;;;;;;;;;;;;;;
9;2002;81650 ;;;;;;;;;;;;;;;
9;2003;95223 ;;;;;;;;;;;;;;;
9;2004;65768 ;;;;;;;;;;;;;;;
9;2005;78703 ;;;;;;;;;;;;;;;
9;2006;77239 ;;;;;;;;;;;;;;;
9;2007;106212 ;;;;;;;;;;;;;;;
9;2008;95983 ;;;;;;;;;;;;;;;
9;2009;101926 ;;;;;;;;;;;;;;;
9;2010;104927 ;;;;;;;;;;;;;;;
9;2011;100503 ;;;;;;;;;;;;;;;
9;2012;80413 ;;;;;;;;;;;;;;;
9;2013;102251 ;;;;;;;;;;;;;;;
9;2014;116910 ;;;;;;;;;;;;;;;
9;2015;104970 ;;;;;;;;;;;;;;;
