rgn_id,year,catch
1,2011,43668.9
1,2012,30573.5
1,2013,45083.4
1,2014,45718.5
1,2015,34104.9
2,2011,4553.3
2,2012,4632.4
2,2013,4761.1
2,2014,6113.1
2,2015,6474.1
3,2011,810.4
3,2012,815.3
3,2013,826.9
3,2014,884
3,2015,828.2
4,2011,18074.2
4,2012,10482
4,2013,14103.6
4,2014,22436.1
4,2015,20379.23
5,2011,12784.4
5,2012,13374.5
5,2013,14342.1
5,2014,17809.2
5,2015,16307.9
6,2011,18564.8
6,2012,18083.5
6,2013,20597.8
6,2014,21534.5
6,2015,24910.34
7,2011,1744.3
7,2012,2065.9
7,2013,2100.4
7,2014,2000.9
7,2015,1889.6
8,2011,716.7
8,2012,864.1
8,2013,866
8,2014,814.9
8,2015,505.53
