rgn_id,years,unit
1,2011,3311
1,2012,2861
1,2013,2242
1,2014,2415
1,2015,1277
2,2011,4047
2,2012,2739
2,2013,3077
2,2014,3077
2,2015,3077
3,2011,3018
3,2012,3129
3,2013,9557
3,2014,8816
3,2015,4479
4,2011,3741
4,2012,1134
4,2013,994
4,2014,783
4,2015,3453
5,2011,5871
5,2012,6490
5,2013,5512
5,2014,5363
5,2015,5183
6,2011,9522
6,2012,11908
6,2013,13818
6,2014,13818
6,2015,15902
7,2011,2066
7,2012,1451
7,2013,3033
7,2014,3177
7,2015,2926
8,2011,1268
8,2012,1579
8,2013,1629
8,2014,1596
8,2015,1596
