region,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016
jembrana,2901,1684,2331,2329,1783,1823,1838,1985,1855,1855,2204,1870,1870,1874,1874,1477,1487
tabanan,258,271,269,223,270,277,299,305,259,259,215,262,468,439,442,157,162
badung,1834,1735,1734,1770,1811,1861,1540,1964,1150,1150,1348,1825,1862,1840,1922,1692,1692
gianyar,288,317,371,272,231,240,382,385,391,391,507,526,267,333,333,303,303
klungkung,1796,1800,939,949,950,970,939,1079,1065,1065,1065,1070,1070,1080,1070,1110,1110
karangasem,3465,3472,3560,4011,4074,4090,4418,4418,4960,4960,5923,6204,6204,6228,6228,6471,5610
buleleng,2454,2142,2486,2829,3019,3140,2850,2954,2359,2359,3573,2685,2745,3033,31015,4383,4419
denpasar,755,755,849,720,981,989,874,902,1074,1074,987,907,907,968,1359,1326,2137
