rgn_id,year,pp_anomaly
1,2002,NA
2,2002,632.92693824405
3,2002,NA
4,2002,NA
5,2002,24.4812724277209
6,2002,8.84243526785699
7,2002,NA
8,2002,NA
1,2003,NA
2,2003,270.05177157738
3,2003,NA
4,2003,NA
5,2003,11.098629570578
6,2003,21.556060267857
7,2003,NA
8,2003,NA
1,2004,NA
2,2004,347.60910491071
3,2004,NA
4,2004,NA
5,2004,46.2724152848638
6,2004,63.086310267857
7,2004,NA
8,2004,NA
1,2005,NA
2,2005,-282.11022842262
3,2005,NA
4,2005,NA
5,2005,-14.2195966198981
6,2005,-7.792814732143
7,2005,NA
8,2005,NA
1,2006,NA
2,2006,422.47243824405
3,2006,NA
4,2006,NA
5,2006,7.03109385629243
6,2006,-15.262064732143
7,2006,NA
8,2006,NA
1,2007,NA
2,2007,153.16252157738
3,2007,NA
4,2007,NA
5,2007,32.19764147534
6,2007,-1.09952306547652
7,2007,NA
8,2007,NA
1,2008,NA
2,2008,-57.4030617559501
3,2008,NA
4,2008,NA
5,2008,-22.0343942389456
6,2008,-16.961689732143
7,2008,NA
8,2008,NA
1,2009,NA
2,2009,-30.52731175595
3,2009,NA
4,2009,NA
5,2009,8.12192718962556
6,2009,21.0023936011905
7,2009,NA
8,2009,NA
1,2010,NA
2,2010,-353.85247842262
3,2010,NA
4,2010,NA
5,2010,-23.2787751913264
6,2010,-21.3294813988095
7,2010,NA
8,2010,NA
1,2011,NA
2,2011,-111.56881175595
3,2011,NA
4,2011,NA
5,2011,-5.31302519132672
6,2011,-17.1660230654765
7,2011,NA
8,2011,NA
1,2012,NA
2,2012,130.04018824405
3,2012,NA
4,2012,NA
5,2012,16.6601295705783
6,2012,-12.848939732143
7,2012,NA
8,2012,NA
1,2013,NA
2,2013,-336.613561755953
3,2013,NA
4,2013,NA
5,2013,-13.4141561437074
6,2013,-1.37081473214301
7,2013,NA
8,2013,NA
1,2014,NA
2,2014,-80.9539784226201
3,2014,NA
4,2014,NA
5,2014,-38.9638823341837
6,2014,-7.00677306547649
7,2014,NA
8,2014,NA
1,2015,NA
2,2015,181.26068824405
3,2015,NA
4,2015,NA
5,2015,9.30797480867343
6,2015,-22.129189732143
7,2015,NA
8,2015,NA
1,2016,NA
2,2016,-581.999561755953
3,2016,NA
4,2016,NA
5,2016,-35.0725370960884
6,2016,1.49514360119051
7,2016,NA
8,2016,NA
1,2017,NA
2,2017,-302.494656994049
3,2017,NA
4,2017,NA
5,2017,-2.87471736819715
6,2017,6.98497098214301
7,2017,NA
8,2017,NA
