No;Kab/Kota;Jenis Budidaya;PRODUKSI;;naik/ turun;;NLAI PRODUKSI;;naik/ turun;;RTP;;naik/ turun;;LUAS LAHAN (Ha);;naik/ turun;;TENAGA KERJA;;naik/ turun
;;;2015;2016;;;2015;2016;;;2015;2016;;;2015;2016;;;2015;2016;
1;Denpasar;Laut; 341.90 ; 352.30 ; 3.04 ;; 448,950.0 ; 471,700.00 ; 5.07 ;; 22 ; 73 ; 231.82 ;; 1.6 ; 1.9 ; 16.25 ;; 91.0 ; 108.0 ; 18.68 
;;Kolam; 168.40 ; 193.90 ; 15.14 ;; 2,629,100.0 ; 3,256,700.00 ; 23.87 ;; 127 ; 551 ; 333.86 ;; 2.4 ; 3.0 ; 23.33 ;; 475.0 ; 826.0 ; 73.89 
;;; 510.30 ; 546.20 ; 7.04 ;; 3,078,050.0 ; 3,728,400.0 ; 21.13 ;; 149 ; 624 ; 318.79 ;; 4.0 ; 4.8 ; 20.50 ;; 566.0 ; 934.0 ; 65.02 
;;;;;; 1.00 ;;;; 1.00 ;;;;;;;;1; 3.0 ;;
2;Badung;Laut; 311.90 ; 13.40 ; (95.70);; 366,737.0 ; 8,388.00 ; (97.71);; 58 ; 58 ; -   ;; 5.8 ; 5.8 ; -   ;; 190.0 ; 190.0 ; -   
;;Kolam; 272.10 ; 525.20 ; 93.02 ;; 4,866,880.0 ; 17,805,400.00 ; 265.85 ;; 120 ; 120 ; -   ;; 4.2 ; 4.2 ; -   ;; 180.0 ; 180.0 ; -   
;;Sawah; 1.43 ; 56.83 ; 3,874.13 ;; 39,800.0 ; 1,853,990.00 ; 4,558.27 ;; 30 ; 30 ; -   ;; 12.0 ; 12.0 ; -   ;; 150.0 ; 150.0 ; -   
;;; 585.43 ; 595.43 ; 1.71 ;; 5,273,417.0 ; 19,667,778.0 ; 272.96 ;; 208 ; 208 ; -   ;; 22.0 ; 22.0 ; -   ;; 520.0 ; 520.0 ; -   
;;;;;;;;;;;;;;;;;;;;;
3;Tabanan;Kolam; 2,695.40 ; 2,621.25 ; (2.75);; 50,850,000.0 ; 53,841,410.0 ; 5.88 ;; 1,223 ; 1,223 ; -   ;; 124.0 ; 124.0 ; -   ;; 6,337.0 ; 6,337.0 ; -   
;;Sawah; 178.60 ; 625.29 ; 250.11 ;; 5,218,800.0 ; 18,638,100.0 ; 257.13 ;; 180 ; 180 ; -   ;; 39.9 ; 39.9 ; -   ;; 537.0 ; 537.0 ; -   
;;Jaring Apung; 57.80 ; 20.80 ; (64.01);; 1,010,400.0 ; 352,000.0 ; (65.16);; 70 ; 70 ; -   ;; 0.1 ; 0.1 ; -   ;; 135.0 ; 135.0 ; -   
;;; 2,931.80 ; 3,267.34 ; 11.44 ;; 57,079,200.0 ; 72,831,510.0 ; 27.60 ;; 1,473 ; 1,473 ; -   ;; 164.0 ; 164.0 ; -   ;; 7,009.0 ; 7,009.0 ; -   
;;;;;;;;;;;;;;;;;;;;;
4;Jembrana;Laut ; 4.71 ; -   ; (100.00);; 365,100.0 ; -   ; (100.00);; 5 ; 4 ; (20.00);; 6.5 ; 5.0 ; (23.08);; 17.0 ;; (100.00)
;;tambak; 1,369.62 ; 2,676.75 ; 95.44 ;; 67,555,430.0 ; 172,643,590.0 ; 155.56 ;; 110 ; 110 ; -   ;; 79.0 ; 79.0 ; -   ;; 250.0 ; 250.0 ; -   
;;kolam; 298.39 ; 361.86 ; 21.27 ;; 6,157,730.0 ; 9,635,251.0 ; 56.47 ;; 1,470 ; 2,167 ; 47.41 ;; 36.2 ; 89.4 ; 147.10 ;; 1,471.0 ; 2,167.0 ; 47.31 
;;; 1,672.72 ; 3,038.62 ; 81.66 ;; 74,078,260.0 ; 182,278,841.0 ; 146.06 ;; 1,585 ; 2,281 ; 43.91 ;; 121.7 ; 173.4 ; 42.50 ;; 1,738.0 ; 2,417.0 ; 39.07 
;;; 1.00 ;;;;;; 1.00 ; 1.00 ;;;;;;;;1; . ;;
5;Buleleng;Laut; 967.48 ; 855.77 ; (11.55);; 38,605,280.0 ; 42,280,690.0 ; 9.52 ;; 20 ; 20 ; -   ;; 308.0 ; 308.0 ; -   ;; 2,155.0 ; 2,155.0 ; -   
;;Tambak; 1,775.90 ; 2,468.46 ; 39.00 ;; 79,915,500.0 ; 111,080,700.0 ; 39.00 ;; 12 ; 12 ; -   ;; 110.0 ; 110.0 ; -   ;; 136.0 ; 136.0 ; -   
;;Kolam; 72.52 ; 68.25 ; (5.89);; 1,546,950.0 ; 1,563,350.0 ; 1.06 ;; 486 ; 486 ; -   ;; 292.0 ; 292.0 ; -   ;; 486.0 ; 486.0 ; -   
;;Jaring Apung; 24.70 ; 47.01 ; 90.32 ;; 606,100.0 ; 1,186,550.0 ; 95.77 ;; 14 ; 14 ; -   ;; 1.4 ; 1.4 ; -   ;; 14.0 ; 14.0 ; -   
;;; 2,840.60 ; 3,439.49 ; 21.08 ;; 120,673,830.0 ; 156,111,290.0 ; 29.37 ;; 532 ; 532 ; -   ;; 711.4 ; 711.4 ; -   ;; 2,791.0 ; 2,791.0 ; -   
;;;;;;;;;;;;;;;;;;;;;
