rgn_id;year;area_ha
4;2009;868.00
4;2010;868.00
4;2011;868.00
4;2012;868.00
4;2013;868.00
4;2014;658.10
4;2015;658.10
2;2009;1048.90
2;2010;1048.90
2;2011;1328.00
2;2012;1328.00
2;2013;1328.00
2;2014;1328.00
2;2015;1328.00
1;2009;300.60
1;2010;300.60
1;2011;300.60
1;2012;300.60
1;2013;300.06
1;2014;300.60
1;2015;300.60
8;2009;75.00
8;2010;75.00
8;2011;75.00
8;2012;75.00
8;2013;75.00
8;2014;75.00
8;2015;75.00
7;2009;1257.20
7;2010;1257.20
7;2011;1419.00
7;2012;1419.00
7;2013;1417.00
7;2014;1419.00
7;2015;1419.00
6;2009;720.40
6;2010;720.40
6;2011;720.40
6;2012;720.40
6;2013;1,120.30
6;2014;894.80
6;2015;894.80
5;2009;3054.00
5;2010;3054.00
5;2011;3054.00
5;2012;3054.00
5;2013;4459.00
5;2014;2272.50
5;2015;2272.50
