rgn_id;year;area_ha
4;2009;77.00
4;2010;77.00
4;2011;127.00
4;2012;127.00
4;2013;127.00
4;2014;127.00
4;2015;127.00
2;2009;685.00
2;2010;685.00
2;2011;546.00
2;2012;546.00
2;2013;546.00
2;2014;500.80
2;2015;546.00
1;2009;475.00
1;2010;475.00
1;2011;452.00
1;2012;452.00
1;2013;452.00
1;2014;452.00
1;2015;452.00
7;2009;107.00
7;2010;107.00
7;2011;159.50
7;2012;159.50
7;2013;159.50
7;2014;157.50
7;2015;159.50
6;2009;59.00
6;2010;59.00
6;2011;27.00
6;2012;27.00
6;2013;27.00
6;2014;27.00
6;2015;27.00
5;2009;17.00
5;2010;17.00
5;2011;12.00
5;2012;12.00
5;2013;12.00
5;2014;51.70
5;2015;12.00
