rgn_id,years,loc,reg,tbd_tbu,temp_c,tss_mgl-1,tds_mgl-1,pH,salinity,do_mgl-1,bod5_mgl-1,cod_mgl-1,nh3-n_mgl-1,no3-n_mgl-1,so2_mgl-1,po4_mgl-1,h2s_mgl-1,crudeoil_mgl-1,detergent_mgl-1,cd_mgl-1,pb_mgl-1,fe_mgl-1,klorin_mgl-1,koliform_total_sel100m-1
1,2009,Pantai Sanur,Denpasar,ttd,33.3,ttd,,8.3,31,11.1,1.7,28.62,ttd,"1,757","91,903",0.025,ttd,0.134,"5,449",ttd,0.031,0.028,,110
1,2009,Pantai Semawang,Denpasar,ttd,33.6,ttd,,7.7,30,9.5,0.7,38.73,ttd,6.64,"56,212",0.104,ttd,0.006,"4,318",0.011,0.048,0.024,,120
2,2009,Pantai Pemelisan,Badung,0.48148,32.4,"4,819",,7.9,30,11,4.3,39.37,ttd,"2,419","71,148",0.037,ttd,ttd,ttd,0.002,0.033,0.033,,110
2,2009,Pantai Kuta,Badung,ttd,31.1,ttd,,8,30,11.3,5,52.35,0.005,5.45,61.48,0.05,ttd,0.006,2.45,0.016,0.049,0.024,,210
2,2009,Pantai Samuh,Badung,ttd,32,ttd,,8.2,30,8.1,2.1,35.41,0.018,8.55,"50,474",0.05,0.0002,0.012,ttd,0.018,0.045,0.028,,100
8,2009,Pantai Lebih,Gianyar,ttd,31.5,ttd,,7.5,30,8.1,1.5,ttd,ttd,"5,818","58,254",0.075,ttd,ttd,45.71,0.045,0.048,0.024,,230
6,2009,Pantai Candidasa,Karangasem,ttd,30.5,ttd,,8.1,36,12,5,25.73,ttd,0.541,"131,132",0.075,0.0002,0.124,ttd,0.046,0.031,0.044,,120
8,2009,Pantai Saba,Gianyar,ttd,31.7,ttd,,7.9,31,8.1,1.5,ttd,0.009,9.36,"61,575",0.063,0.0001,ttd,50.09,0.01,0.044,0.028,,120
3,2009,Pantai Soka,Tabanan,ttd,29.3,ttd,,7.6,30,8.8,5.5,ttd,ttd,9.18,"39,089",0.013,ttd,ttd,30.43,0.069,0.047,0.024,,210
4,2009,Pantai Perancak,Jembrana,ttd,29.3,ttd,,7.2,35,10.5,7.9,ttd,ttd,6.9,53.89,ttd,ttd,ttd,40.76,0.082,0.032,0.033,,115
4,2009,Pantai Candikusuma,Jembrana,ttd,29,ttd,,6.6,35,11.2,8,ttd,ttd,0.946,"4,787",0.075,ttd,0.114,35.92,0.069,0.046,0.073,,210
5,2009,Pantai Kalibukbuk,Buleleng,0.03703,33.2,0.372,,7.5,30,11.4,8,ttd,ttd,"1,108","74,528",0.05,ttd,0.534,25.15,ttd,0.039,0.034,,130
7,2009,Pantai Lepang,Klungkung,ttd,31.3,ttd,,8.1,33,10.3,3.3,ttd,ttd,"4,243","109,623",0.038,ttd,0.51,20.85,0.03,0.037,0.048,,210
6,2009,Pantai Padangbai,Karangasem,ttd,30.3,ttd,,8.1,35,13,7.4,28.57,ttd,"1,392",30.11,0.044,ttd,0.488,0.555,ttd,0.033,0.028,,210
1,2010,Pantai Sanur,Denpasar,ttd,33.3,ttd,,8.3,31,11.1,1.7,28.62,ttd,"1,757","91,903",0.025,ttd,0.134,"5,449",ttd,0.031,0.028,,110
1,2010,Pantai Semawang,Denpasar,ttd,33.6,ttd,,7.7,30,9.5,0.7,38.73,ttd,6.64,"56,212",0.104,ttd,0.006,"4,318",0.011,0.048,0.024,,120
2,2010,Pantai Pemelisan,Badung,0.48148,32.4,"4,819",,7.9,30,11,4.3,39.37,ttd,"2,419","71,148",0.037,ttd,ttd,ttd,0.002,0.033,0.033,,110
2,2010,Pantai Kuta,Badung,ttd,31.1,ttd,,8,30,11.3,5,52.35,0.005,5.45,61.48,0.05,ttd,0.006,2.45,0.016,0.049,0.024,,210
2,2010,Pantai Samuh,Badung,ttd,32,ttd,,8.2,30,8.1,2.1,35.41,0.018,8.55,"50,474",0.05,0.0002,0.012,ttd,0.018,0.045,0.028,,100
8,2010,Pantai Lebih,Gianyar,ttd,31.5,ttd,,7.5,30,8.1,1.5,ttd,ttd,"5,818","58,254",0.075,ttd,ttd,45.71,0.045,0.048,0.024,,230
6,2010,Pantai Candidasa,Karangasem,ttd,30.5,ttd,,8.1,36,12,5,25.73,ttd,0.541,"131,132",0.075,0.0002,0.124,ttd,0.046,0.031,0.044,,120
8,2010,Pantai Saba,Gianyar,ttd,31.7,ttd,,7.9,31,8.1,1.5,ttd,0.009,9.36,"61,575",0.063,0.0001,ttd,50.09,0.01,0.044,0.028,,120
3,2010,Pantai Soka,Tabanan,ttd,29.3,ttd,,7.6,30,8.8,5.5,ttd,ttd,9.18,"39,089",0.013,ttd,ttd,30.43,0.069,0.047,0.024,,210
4,2010,Pantai Perancak,Jembrana,ttd,29.3,ttd,,7.2,35,10.5,7.9,ttd,ttd,6.9,53.89,ttd,ttd,ttd,40.76,0.082,0.032,0.033,,115
4,2010,Pantai Candikusuma,Jembrana,ttd,29,ttd,,6.6,35,11.2,8,ttd,ttd,0.946,"4,787",0.075,ttd,0.114,35.92,0.069,0.046,0.073,,210
5,2010,Pantai Kalibukbuk,Buleleng,0.03703,33.2,0.372,,7.5,30,11.4,8,ttd,ttd,"1,108","74,528",0.05,ttd,0.534,25.15,ttd,0.039,0.034,,130
7,2010,Pantai Lepang,Klungkung,ttd,31.3,ttd,,8.1,33,10.3,3.3,ttd,ttd,"4,243","109,623",0.038,ttd,0.51,20.85,0.03,0.037,0.048,,210
