rgn_id,years,loc,reg,tbd_tbu,temp_c,tss_mgl-1,tds_mgl-1,pH,salinity,do_mgl-1,bod5_mgl-1,cod_mgl-1,nh3-n_mgl-1,no3-n_mgl-1,so2_mgl-1,po4_mgl-1,h2s_mgl-1,crudeoil_mgl-1,detergent_mgl-1,cd_mgl-1,pb_mgl-1,fe_mgl-1,klorin_mgl-1,koliform_total_sel100m-1
6,2010,Pantai Padangbai,Karangasem,ttd,30.3,ttd,,8.1,35,13,7.4,28.57,ttd,"1,392",30.11,0.044,ttd,0.488,0.555,ttd,0.033,0.028,,210
1,2011,Pantai Sanur,Denpasar,,30,0,,8.04,"38,605",6.18,"11,301","39,292",,"2,027",,,ttd,,,0.012,,,ttd,460
1,2011,Pantai Semawang,Denpasar,,30.2,0,,7.84,"38,989","6,227","10,816","17,152",,"1,486",,,ttd,,,0.009,,,ttd,430
2,2011,Pantai Kuta,Badung,,28.4,2,,8.24,"41,774",6.23,"21,713","40,713",,"20,869",,,0.005,,,0.017,,,ttd,1100
1,2011,Pantai Terora,Denpasar,,28.6,1.2,,8.01,"40,014",6.61,"19,811","39,813",,"20,938",,,ttd,,,0.0165,,,ttd,430
6,2011,Pantai Candidasa,Karangasem,,28.4,0,,8.03,"33,671",6.41,"14,816","33,451",,"6,757",,,ttd,,,0.017,,,ttd,360
8,2011,Pantai Lebih,Gianyar,,27.5,4.5,,7.89,"34,096",6.79,"20,835","41,361",,27.5,,,ttd,,,0.015,,,ttd,1100
8,2011,Pantai Saba,Gianyar,,28.3,0.769,,7.86,"38,028",6.41,"14,984","30,819",,"4,865",,,ttd,,,0.016,,,ttd,460
3,2011,Pantai Soka,Tabanan,,28.6,0,,7.88,"40,271",7.43,"14,061","31,434",,"5,135",,,ttd,,,0.018,,,ttd,230
3,2011,Tanah Lot,Tabanan,,28.2,0,,8.06,"39,885",6.83,"13,461","31,081",,"4,324",,,ttd,,,0.019,,,ttd,430
4,2011,Pantai Candikusuma,Jembrana,,28.5,0,,7.87,"37,964",6.73,"13,861","31,651",,"5,676",,,ttd,,,0.019,,,ttd,230
5,2011,Pantai Lovina,Buleleng,,28.3,1.92,,7.92,37.9,6.71,"18,076","39,413",,"5,002",,,ttd,,,0.0135,,,ttd,1100
7,2011,Pantai Lepang,Klungkung,,28,0,,8.08,"38,412",6.89,"19,881","40,071",,"28,125",,,ttd,,,0.0161,,,ttd,230
6,2011,Pantai Tulamben,Karangasem,,28.1,0,,7.84,"34,632",6.67,"14,901","32,073",,0.003,,,ttd,,,0.0173,,,ttd,320
6,2012,Pantai Tulamben,Karangasem,,30,"1,245",,8.04,,"6,180","9,765","19,292",,0.321,,0.197,,,0.013,0.004,,,0.001,460
6,2012,Pantai Ujung,Karangasem,,30.2,"1,061",,7.84,,"6,227","9,638","17,895",,"1,486",,0.246,,,0.016,0.009,,,0.001,430
6,2012,Pantai Candidasa,Karangasem,,28.4,"1,321",,8.24,,6.23,"9,841","16,713",,"1,348",,0.188,,,0.022,0.017,,,0.005,1100
6,2012,Pantai Amed,Karangasem,,28.6,"1,295",,8.01,,6.61,"9,967","19,813",,"2,938",,0.193,,,0.015,0.0165,,,0.001,430
6,2012,Pantai Padangbai,Karangasem,,28.6,"1,376",,8.12,,5.77,"9,806","18,672",,"2,675",,0.209,,,0.013,0.016,,,0.001,350
7,2012,Pantai Lepang,Klungkung,,28.5,"1,261",,8.05,,6.18,"10,301","19,292",,2.66,,0.308,,,0.002,0.012,,,0.001,460
7,2012,Pantai Watuklotok,Klungkung,,30.2,"1,352",,7.86,,6.23,"10,816","17,672",,1.54,,0.287,,,0.016,0.009,,,0.001,430
7,2012,Pantai Kusamba,Klungkung,,28.4,"2,306",,8.27,,6.28,"12,713","18,504",,2.14,,0.276,,,0.002,0.017,,,0.005,1100
8,2012,Pantai Lebih,Gianyar,,30,"1,877",,8.11,,6.76,"9,567","19,292",,"2,027",,0.183,,,0.001,0.002,,,0.001,380
8,2012,Pantai Saba,Gianyar,,30,"1,906",,7.89,,"6,155","10,816","17,152",,"1,486",,0.208,,,0.001,0.013,,,0.002,450
8,2012,Pantai Purnama,Gianyar,,28.4,"2,084",,8.25,,"6,143","9,713","19,653",,"2,371",,0.275,,,0.002,0.014,,,0.005,1000
1,2012,Padang Galak,Denpasar,,29.3,2.83,,8.04,,"6,180","11,301","39,292",,"2,027",,0.279,,,0.002,0.012,,,0.001,500
1,2012,Pantai Sanur,Denpasar,,30,2.93,,7.84,,"6,227",10.38,19.46,,"1,486",,0.301,,,0.003,0.009,,,0.001,512
1,2012,Pantai Sewamang,Denpasar,,30.2,2.07,,8.24,,6.23,11.81,20.75,,"2,082",,0.299,,,0.001,0.017,,,0.005,950
1,2012,Pantai Mertasari,Denpasar,,29.7,2.32,,8.01,,6.61,10.71,19.61,,"2,341",,0.287,,,0.002,0.0165,,,0.001,800
1,2012,Pantai Benoa,Denpasar,,30.2,2.43,,8.14,,5.44,12.88,22.57,,"2,663",,0.311,,,0.001,0.002,,,0.001,760
2,2012,Tanjung Benoa,Badung,,29.3,1.86,,8.11,,6.82,11.27,18.39,,"2,027",,0.329,,,0.002,0.012,,,0.001,750
2,2012,Pantai Samuh,Badung,,30,1.77,,7.89,,6.74,10.69,17.22,,"1,486",,0.311,,,0.002,0.009,,,0.001,825
2,2012,Nusa Dua,Badung,,28.9,2.04,,8.07,,6.39,13.56,20.62,,"2,832",,0.282,,,0.001,0.017,,,0.005,200
2,2012,Pantai Geger,Badung,,28.8,1.29,,7.99,,6.88,10.37,20.71,,"2,743",,0.302,,,0.004,0.016,,,0.001,940
2,2012, Pantai Pecatu,Badung,,29,1.82,,7.68,,5.98,9.83,18.72,,"2,022",,0.299,,,0.001,0.001,,,0.001,330
2,2012,Pantai Balangan,Badung,,30,"2,307",,8.01,,6.04,8.54,19.33,,2.07,,,,,0.001,0.001,,,0.001,570
2,2012,Pantai Sawangan,Badung,,30.2,"1,639",,7.81,,6.31,7.88,17.75,,1.39,,,,,0.001,0.001,,,0.001,595
2,2012,Pantai Jimbaran,Badung,,28.4,"2,883",,8.05,,6.25,9.92,18.62,,2.64,,,,,0.001,0.005,,,0.005,1000
2,2012,Pantai Kedongan,Badung,,28.6,"1,274",,7.97,,6.18,9.83,19.66,,2.09,,,,,0.001,0.001,,,0.001,950
2,2012,Pantai Tuban,Badung,,29.5,"1,896",,7.64,,5.98,10.73,18.62,,1.99,,,,,0.001,0.001,,,0.001,580
2,2012,Pantai Kuta,Badung,,29.4,2.06,,8.22,,6.29,21.68,41.77,,0.028,,0.386,,,0.025,0.001,,,0.001,550
2,2012,Pantai Legian,Badung,,30,2.19,,7.99,,6.01,15.67,30.58,,"1,571",,0.409,,,0.035,0.001,,,0.001,700
2,2012,Pantai Brawa,Badung,,29.4,2.7,,8.31,,5.98,17.61,35.67,,0.972,,0.461,,,0.022,0.004,,,0.004,900
2,2012,Pantai Seminyak,Badung,,29.6,1.26,,8.09,,6.55,19.07,35.62,,0.874,,0.491,,,0.011,0.001,,,0.001,550
4,2012,Pantai Perancak,Jembrana,,28.7,2.08,,7.79,,5.99,10.61,16.74,,2.44,,0.565,,,0.042,0.014,,,0.001,770
4,2012,Pantai Candikusuma,Jembrana,,29.3,2.69,,7.84,,6.22,10.55,16.47,,1.35,,0.471,,,0.038,0.007,,,0.001,850
4,2012,Pengambengan,Jembrana,,27.8,2.56,,8.26,,6.15,10.64,20.56,,2.67,,0.643,,,0.027,0.019,,,0.004,1000
4,2012,Pantai Gilimanuk,Jembrana,,29.6,1.23.79,,8.56,,5.79,15.72,22.47,,2.93,,0.602,,,0.039,0.019,,,0.001,1500
5,2012,Partai Pemuteran,Buleleng,,28.6,2.69,,8.36,,5.79,10.35,22.56,,2.01,,0.734,,,0.039,0.012,,,0.005,1000
5,2012,Celukan Bawang,Buleleng,,28.6,1.75,,7.68,,6.07,9.72,16.09,,1.38,,0.661,,,0.028,0.008,,,0.001,950
5,2012,Kalibukbuk,Buleleng,,28.9,2.09,,8.24,,6.23,11.62,20.73,,2.76,,0.406,,,0.033,0.016,,,0.001,580
5,2012,Pantai Lovina,Buleleng,,28.6,1.23,,8.01,,6.77,9.89,21.25,,1.78,,0.523,,,0.046,0.014,,,0.001,550
5,2012,Pantai Buleleng,Buleleng,,28.8,2.14,,7.93,,5.81,10.74,18.65,,2.86,,0.472,,,0.032,0.019,,,0.001,700
5,2012,Kubutambahan,Buleleng,,28.7,1.76,,8.15,,5.27,9.35,18.44,,1.79,,0.529,,,0.045,0.004,,,0.004,900
5,2012,Tejakula,Buleleng,,29.2,2.36,,7.91,,5.68,10.62,20.75,,2.94,,0.472,,,0.059,0.003,,,0.001,550
6,2013,Pantai Tulamben,Karangasem,,28.5,12,,7.92,28.5,7.7,4.77,10,,<0.05,,0.01,,,,<0.0001,,,<0.01,110
6,2013,Pantai Ujung,Karangasem,,27.8,15,,7.69,27.1,8,3.72,9,,<0.05,,0.013,,,,<0.0001,,,<0.01,70
6,2013,Pantai Candidasa,Karangasem,,27.8,6,,7.93,29.1,7.62,3.12,9,,<0.05,,0.011,,,,<0.0001,,,<0.01,90
7,2013,Pantai Watuklotok,Klungkung,,27.7,7,,8.02,27.9,7.62,2.27,8,,<0.05,,0.017,,,,<0.0001,,,<0.01,110
8,2013,Pantai Lebih,Gianyar,,27.7,5,,7.93,27.4,7.89,3.76,9,,<0.05,,0.018,,,,<0.0001,,,<0.01,90
8,2013,Pantai Saba,Gianyar,,27.1,5,,7.97,29,8.04,3.46,9,,<0.05,,0.013,,,,<0.0001,,,<0.01,200
3,2013,Tanah Lot,Tabanan,,26.5,5,,7.97,28.6,8.16,1.98,8,,<0.05,,0.011,,,,<0.0001,,,<0.01,40
3,2013,Pantai Nyanyi,Tabanan,,26.4,9,,7.97,29,8.1,3.72,9,,<0.05,,0.018,,,,<0.0001,,,<0.01,280
2,2013,Pantai Brawa,Badung,,26.9,7,,7.98,3.7,7.83,4.38,11,,0.007,,0.018,,,,<0.0001,,,<0.01,200
2,2013,Pantai Seminyak,Badung,,26.3,7,,7.97,30.1,8,2.12,8,,<0.05,,0.011,,,,<0.0001,,,<0.01,90
2,2013,Pantai Legian,Badung,,26.6,10,,7.96,30.2,8.06,2.28,9,,<0.05,,0.013,,,,<0.0001,,,<0.01,90
2,2013,Pantai Kuta,Badung,,26.3,13,,7.95,29.7,8.07,2.72,9,,<0.05,,0.01,,,,<0.0001,,,<0.01,40
2,2013,Pantai Kedonganan,Badung,,26.3,13,,7.96,30.1,8.08,4.88,13,,<0.05,,0.015,,,,<0.0001,,,<0.01,200
2,2013,Pantai Jimbaran,Badung,,26.2,21,,7.93,18.4,8.1,2.82,9,,<0.05,,0.012,,,,<0.0001,,,<0.01,110
2,2013,Nusa Dua,Badung,,26.4,10,,7.94,30.6,8.07,2.11,8,,<0.05,,0.013,,,,<0.0001,,,<0.01,90
2,2013,Tanjung Benoa,Badung,,27.9,15,,7.93,29.4,7.66,4.21,11,,<0.05,,0.016,,,,<0.0001,,,<0.01,70
2,2013,Sawangan,Badung,,26.6,10,,7.92,28,7.91,3.48,10,,<0.05,,0.019,,,,<0.0001,,,<0.01,70
2,2013,Geger,Badung,,27.4,9,,7.94,30.1,7.86,3.28,10,,<0.05,,0.018,,,,<0.0001,,,<0.01,40
2,2013,Dreamland,Badung,,27.3,11,,7.93,28.5,7.2,2.11,7,,<0.05,,0.016,,,,<0.0001,,,<0.01,40
1,2013,Merta Sari,Denpasar,,28.7,3,,8,29.8,7.61,2.81,8,,<0.05,,0.018,,,,<0.0001,,,<0.01,110
1,2013,Semawang,Denpasar,,28,9,,7.92,27.6,7.61,2.76,8,,<0.05,,0.018,,,,<0.0001,,,<0.01,90
1,2013,Sanur,Denpasar,,27.7,3,,7.97,3.7,7.79,3.72,10,,0.005,,0.015,,,,<0.0001,,,<0.01,150
1,2013,Padang Galak,Denpasar,,27.1,11,,7.97,3.7,7.66,4.06,12,,<0.06,,0.018,,,,<0.0001,,,<0.01,200
8,2013,Purnama,Gianyar,,26.2,9,,7.98,28,8.02,2.72,9,,<0.05,,0.018,,,,<0.0001,,,<0.01,110
3,2013,Pasut,Tabanan,,26.5,10,,7.94,29.8,7.91,1.98,7,,<0.05,,0.018,,,,<0.0001,,,<0.01,40
3,2013,Pantai Soka,Tabanan,,26.4,6,,7.98,3.7,8.16,4.27,11,,<0.06,,0.019,,,,<0.0001,,,<0.01,200
4,2013,Pantai Medewi,Jembrana,,29.1,2,,8.05,27.2,7.05,2.36,8,,<0.05,,0.017,,,,<0.0001,,,<0.01,90
5,2013,Pantai Pemuteran,Buleleng,,28.8,2,,8.02,30.3,7.68,1.56,6,,<0.05,,0.01,,,,<0.0001,,,<0.01,23
5,2013,Pantai Lovina,Buleleng,,30.2,11,,7.95,28.4,7.55,1.89,6,,<0.05,,0.01,,,,<0.0001,,,<0.01,40
5,2013,Pantia Baruna,Buleleng,,29.5,38,,7.93,3.4,7.64,6.68,19,,0.007,,0.017,,,,<0.0001,,,<0.01,110
5,2013,Pantai Air Sanih,Buleleng,,28.6,8,,7.92,3.6,7.57,3.87,10,,0.006,,0.018,,,,<0.0001,,,<0.01,150
5,2013,Pantai Tejakula,Buleleng,,28,6,,7.79,27.7,7.56,2.26,8,,<0.05,,0.019,,,,<0.0001,,,<0.01,110
6,2013,Pantai Amed,Karangasem,,28.6,15,,7.88,29.3,7.61,3.72,9,,<0.05,,0.016,,,,<0.0001,,,<0.01,70
6,2013,Padang Bai,Karangasem,,28.5,8,,7.93,29.7,7.2,4.92,11,,<0.05,,0.019,,,,<0.0001,,,<0.01,200
6,2013,Tanah Ampo,Karangasem,,27.8,4,,7.98,29.1,7.78,2.37,8,,<0.05,,0.016,,,,<0.0001,,,<0.01,90
2,2013,Tanjung Benoa,Badung,,26.8,6,,7.89,29.2,7.58,2.88,9,,<0.05,,0.018,,,,<0.0001,,,<0.01,320
4,2013,Gilimanuk,Jembrana,,27.2,3,,7.81,3.6,7.78,3.46,10,,0.07,,0.021,,,,<0.0001,,,<0.01,200
5,2013,Celukan Bawang,Buleleng,,30.3,3,,7.97,3.5,7.21,3.18,10,,0.06,,0.018,,,,<0.0001,,,<0.01,90
5,2013,Pantai Sangsit,Buleleng,,29,3,,7..87,25.8,7.48,2.92,9,,<0.05,,0.016,,,,<0.0001,,,<0.01,90
7,2013,Pantai Kusamba,Klungkung,,28.2,11,,8.03,3.5,7.67,5.87,16,,0.08,,0.019,,,,<0.0001,,,<0.01,200
3,2013,Pantai Yeh Gangga,Tabanan,,26.2,9,,7.99,29.5,8.09,3.47,9,,<0.05,,0.016,,,,<0.0001,,,<0.01,110
4,2013,Pantai Perancak,Jembrana,,30.1,13,,7.97,3.5,7.61,3.82,10,,0.06,,0.019,,,,<0.0001,,,<0.01,110
4,2013,Pengambenan,Jembrana,,28.3,15,,7.93,26.9,7.53,4.06,11,,<0.05,,0.016,,,,<0.0001,,,<0.01,200
4,2013,Pantai Candikusuma,Jembrana,,27.7,15,,7.89,28.4,6.8,2.11,8,,<0.05,,0.018,,,,<0.0001,,,<0.01,110
8,2013,Kampung Baru,Gianyar,,29.7,27,,7.81,3.6,6.81,10.27,24,,0.09,,0.092,,,,<0.0001,,,<0.01,320
5,2013,Kubu Tambahan,Buleleng,,29.2,3,,7.91,29.2,7.62,2.36,8,,<0.05,,0.018,,,,<0.0001,,,<0.01,90
6,2014,Pantai Tulamben,Karangasem,,29.6,1,,8.02,13.11,7.28,2.99,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,200
6,2014,Pantai Ujung,Karangasem,,28.4,15,,7.98,12.8,7.32,3.06,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,40
6,2014,Pantai Candidasa,Karangasem,,29.7,3,,8.03,12.5,7.28,2.99,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,40
6,2014,Padang Bai,Karangasem,,29.2,3,,8.03,13.4,7.21,4.97,10,,0.06,,,<0.001,,,<0.0001,,,<0.01,150
7,2014,Pantai Kusamba,Klungkung,,29.3,7,,7.98,13.5,6.37,5.17,14,,<0.05,,,<0.001,,,<0.0001,,,<0.01,210
8,2014,Pantai Lebih,Gianyar,,28,8,,8.01,14.5,7.23,3.89,9,,<0.05,,,<0.001,,,<0.0001,,,<0.01,110
8,2014,Pantai Purnama,Gianyar,,28,14,,8.01,13.1,7.37,3.64,10,,<0.05,,,<0.001,,,<0.0001,,,<0.01,90
1,2014,Pantai Sanur,Denpasar,,28.3,4,,7.74,12.8,6.84,3.12,9,,<0.05,,,<0.001,,,<0.0001,,,<0.01,110
2,2014,Pantai Mertasari,Badung,,29.9,7,,7.78,10.3,7.41,2.26,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,90
1,2014,Pantai Benua,Denpasar,,28.9,2,,7.82,13,6.28,2.97,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,110
2,2014,Tanjung Benoa,Badung,,30.3,22,,7.89,12.7,7.53,3.26,10,,<0.05,,,<0.001,,,<0.0001,,,<0.01,90
2,2014,Nusa Dua,Badung,,29.6,21,,7.98,13,7.46,2.76,9,,<0.05,,,<0.001,,,<0.0001,,,<0.01,70
2,2014,Pantai Geger,Badung,,29,7,,7.91,13,7.83,3.02,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,70
2,2014,Pantai Jimbaran,Badung,,32.6,9,,7.92,11.3,7.32,2.97,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,90
2,2014,Pantai Kedonganan,Badung,,32.5,13,,7.97,12.7,6.85,3.87,11,,<0.05,,,<0.001,,,<0.0001,,,<0.01,150
2,2014,Pantai Kuta,Badung,,31.6,4,,7.89,15.6,6.95,2.56,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,30
2,2014,Pantai Legian,Badung,,31.3,6,,8.03,15.6,6.87,2.81,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,70
2,2014,Pantai Seminyak,Badung,,31.8,9,,8,15.7,7.11,2.68,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,70
2,2014,Pantai brawa,Badung,,31.4,7,,8.01,15,7.08,4.19,10,,0.06,,,<0.001,,,<0.0001,,,<0.01,150
3,2014,Tanah Lot,Tabanan,,31.9,3,,8.06,15.8,7.03,2.97,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,30
3,2014,Pantai Klanting,Tabanan,,30.8,5,,8.02,15.4,7.2,3.26,9,,<0.05,,,<0.001,,,<0.0001,,,<0.01,40
3,2014,Pantai Soka,Tabanan,,30,9,,8.01,16.6,7.04,3.86,9,,<0.05,,,<0.001,,,<0.0001,,,<0.01,170
4,2014,Pantai Medewi,Jembrana,,29.8,4,,7.81,15.2,7.45,2.47,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,70
4,2014,Pantai Perancak,Jembrana,,30.5,6,,8.01,14.4,7.18,3.77,9,,<0.05,,,<0.001,,,<0.0001,,,<0.01,150
4,2014,Pengambengan,Jembrana,,29.9,5,,7.97,15.7,7.17,3.92,9,,0.06,,,<0.001,,,<0.0001,,,<0.01,60
4,2014,Gilimanuk,Jembrana,,31.2,2,,7.99,16.2,7,3.28,10,,0.06,,,<0.001,,,<0.0001,,,<0.01,210
5,2014,Celukan Bawang,Buleleng,,31.6,3,,8.14,14.6,7.16,4.72,11,,<0.05,,,<0.001,,,<0.0001,,,<0.01,200
5,2014,Pantai Lovina,Buleleng,,31.7,11,,7.91,14.2,7.01,1.92,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,30
2,2014,Pantai Baruna,Badung,,30.5,13,,7.95,14.2,7.13,3.88,9,,<0.05,,,<0.001,,,<0.0001,,,<0.01,70
5,2014,Pantai Sangsit,Buleleng,,30.6,6,,7.92,15.1,7.25,5.63,12,,<0.05,,,<0.001,,,<0.0001,,,<0.01,150
2,2015,Pantai Baruna,Badung,1.13,31.9,2,32.9,8.6,32.7,7.1,1.06,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,70
1,2015,Pantai Benoa,Denpasar,1.71,30.5,3,34.1,8.66,33.4,7.32,3.08,9,,<0.05,,,<0.001,,,<0.0001,,,<0.01,230
2,2015,Pantai Brawa,Badung,4.86,31.4,7,34,8.62,33.8,6.92,0.94,8,,0.06,,,<0.001,,,<0.0001,,,<0.01,40
6,2015,Pantai Candidasa,Karangasem,2.8,30.9,3,33.7,8.61,34,7.52,0.65,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,110
5,2015,Celukan Bawang,Buleleng,7.74,29.1,11,34.3,8.73,26.9,7.1,1.66,8,,0.06,,,<0.001,,,<0.0001,,,<0.01,40
2,2015,Pantai Geger,Badung,0.27,30.5,2,34.4,8.72,33.1,7.23,0.83,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,90
4,2015,Gilimanuk,Jembrana,0.71,31.4,3,33.3,8.6,33.7,7.15,1.2,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,200
2,2015,Pantai Jimbaran,Badung,2.44,37.5,4,33.4,8.6,34,7.02,0.74,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,210
2,2015,Pantai  Kedonganan,Badung,12.84,32.1,15,34.3,8.73,34,7.16,1.75,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,40
3,2015,Pantai Klanting,tabanan,4.18,32,8,32.9,8.66,32.8,6.74,0.79,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,40
7,2015,Pantai Kusamba,Klungkung,1.32,29.8,6,34.2,8.55,33.4,6.92,2.55,10,,0.06,,,<0.001,,,<0.0001,,,<0.01,40
2,2015,Pantai Kuta,Badung,1.36,30.5,3,31.4,8.62,34.2,6.9,0.92,6,,<0.05,,,<0.001,,,<0.0001,,,<0.01,40
8,2015,Pantai Lebih,Gianyar,7.65,30.4,9,29.4,8.52,32.9,7.15,0.87,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,90
2,2015,Pantai Legian,Badung,1.43,30.5,3,33.9,8.67,33.8,7.09,1.22,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,30
5,2015,Pantai Lovina,Buleleng,1.58,29.6,2,34.1,8.68,31,7.16,0.95,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,150
