rgn_id,habitat,layer,boolean
1,mangrove,element_wts_hab_pres_abs,1
1,seagrass,element_wts_hab_pres_abs,1
1,coral,element_wts_hab_pres_abs,1
3,mangrove,element_wts_hab_pres_abs,1
3,seagrass,element_wts_hab_pres_abs,1
3,coral,element_wts_hab_pres_abs,1
4,coral,element_wts_hab_pres_abs,1
5,mangrove,element_wts_hab_pres_abs,1
5,seagrass,element_wts_hab_pres_abs,1
5,coral,element_wts_hab_pres_abs,1
7,seagrass,element_wts_hab_pres_abs,1
7,coral,element_wts_hab_pres_abs,1
8,mangrove,element_wts_hab_pres_abs,1
8,seagrass,element_wts_hab_pres_abs,1
8,coral,element_wts_hab_pres_abs,1
9,mangrove,element_wts_hab_pres_abs,1
9,seagrass,element_wts_hab_pres_abs,1
9,coral,element_wts_hab_pres_abs,1
