rgn_id,habitat,year,health
1,mangrove,2009,NA
1,mangrove,2010,NA
1,mangrove,2011,79.47
1,mangrove,2012,80.4
1,mangrove,2013,67.93
1,mangrove,2014,84.38
1,mangrove,2015,78.95
1,mangrove,2016,78.95
2,mangrove,2009,NA
2,mangrove,2010,NA
2,mangrove,2011,NA
2,mangrove,2012,NA
2,mangrove,2013,NA
2,mangrove,2014,NA
2,mangrove,2015,NA
2,mangrove,2016,NA
3,mangrove,2009,NA
3,mangrove,2010,NA
3,mangrove,2011,79.47
3,mangrove,2012,80.4
3,mangrove,2013,67.93
3,mangrove,2014,84.38
3,mangrove,2015,78.95
3,mangrove,2016,78.95
4,mangrove,2009,NA
4,mangrove,2010,NA
4,mangrove,2011,NA
4,mangrove,2012,NA
4,mangrove,2013,NA
4,mangrove,2014,NA
4,mangrove,2015,NA
4,mangrove,2016,NA
5,mangrove,2009,NA
5,mangrove,2010,NA
5,mangrove,2011,79.47
5,mangrove,2012,80.4
5,mangrove,2013,67.93
5,mangrove,2014,84.38
5,mangrove,2015,78.95
5,mangrove,2016,78.95
7,mangrove,2009,NA
7,mangrove,2010,NA
7,mangrove,2011,NA
7,mangrove,2012,NA
7,mangrove,2013,NA
7,mangrove,2014,NA
7,mangrove,2015,NA
7,mangrove,2016,NA
8,mangrove,2009,NA
8,mangrove,2010,NA
8,mangrove,2011,79.47
8,mangrove,2012,80.4
8,mangrove,2013,67.93
8,mangrove,2014,84.38
8,mangrove,2015,78.95
8,mangrove,2016,78.95
9,mangrove,2009,NA
9,mangrove,2010,NA
9,mangrove,2011,79.47
9,mangrove,2012,80.4
9,mangrove,2013,67.93
9,mangrove,2014,84.38
9,mangrove,2015,78.95
9,mangrove,2016,78.95
