rgn_id,product,year,tonnes
1,corals,1994,1131
1,corals,1995,1151
1,corals,1996,767.333333333333
1,corals,1997,575.5
1,corals,1998,292.75
1,corals,1999,0
1,corals,2000,0
1,corals,2001,0
1,corals,2002,0
1,corals,2003,0
1,corals,2004,0
1,corals,2005,0
1,corals,2006,0
1,corals,2007,0
1,corals,2008,0
1,corals,2009,17.5
1,corals,2010,172.5
1,corals,2011,465.5
1,corals,2012,790.5
1,corals,2013,1061.25
1,fish_oil,1976,23
1,fish_oil,1977,430.5
1,fish_oil,1978,692
1,fish_oil,1979,637
1,fish_oil,1980,706.025
1,fish_oil,1981,507.525
1,fish_oil,1982,227.025
1,fish_oil,1983,152.025
1,fish_oil,1984,205.5
1,fish_oil,1985,286
1,fish_oil,1986,600.25
1,fish_oil,1987,818
1,fish_oil,1988,934.75
1,fish_oil,1989,1104.75
1,fish_oil,1990,1018.25
1,fish_oil,1991,1035.25
1,fish_oil,1992,994.5
1,fish_oil,1993,815
1,fish_oil,1994,642
1,fish_oil,1995,394.75
1,fish_oil,1996,213.025
1,fish_oil,1997,138.775
1,fish_oil,1998,1704.275
1,fish_oil,1999,1692.275
1,fish_oil,2000,1824.275
1,fish_oil,2001,1830.025
1,fish_oil,2002,262.025
1,fish_oil,2003,1210.525
1,fish_oil,2004,1591.25
1,fish_oil,2005,1793.75
1,fish_oil,2006,2140.75
1,fish_oil,2007,1593.5
1,fish_oil,2008,2438.25
1,fish_oil,2009,2715.25
1,fish_oil,2010,2365
1,fish_oil,2011,1991
1,fish_oil,2012,704.75
1,fish_oil,2013,252.5
1,ornamentals,1981,202
1,ornamentals,1982,143
1,ornamentals,1983,114.666666666667
1,ornamentals,1984,107.75
1,ornamentals,1985,87.75
1,ornamentals,1986,237.75
1,ornamentals,1987,329.25
1,ornamentals,1988,494.75
1,ornamentals,1989,675.25
1,ornamentals,1990,745.25
1,ornamentals,1991,998.25
1,ornamentals,1992,1268.75
1,ornamentals,1993,1567.75
1,ornamentals,1994,1870.75
1,ornamentals,1995,2067.75
1,ornamentals,1996,2037.25
1,ornamentals,1997,1659.25
1,ornamentals,1998,1157
1,ornamentals,1999,1040.75
1,ornamentals,2000,1058.75
1,ornamentals,2001,1314
1,ornamentals,2002,1751
1,ornamentals,2003,1752.5
1,ornamentals,2004,1869.25
1,ornamentals,2005,2595
1,ornamentals,2006,2484
1,ornamentals,2007,2321.25
1,ornamentals,2008,1981.75
1,ornamentals,2009,1096.5
1,ornamentals,2010,992.75
1,ornamentals,2011,985.75
1,ornamentals,2012,1001.25
1,ornamentals,2013,1045.5
1,seaweeds,1990,11788
1,seaweeds,1991,11546.5
