rgn_id,year,species,catch
1,2e3,Kuniran,1.912
1,2001,Kuniran,1.186
1,2002,Kuniran,1.492
1,2003,Kuniran,1.332
1,2004,Kuniran,1.16
1,2005,Kuniran,0.902
1,2006,Kuniran,0.846
1,2007,Kuniran,0.785
1,2008,Kuniran,0.725
1,2009,Kuniran,0.653
1,2010,Kuniran,0.562
1,2011,Kuniran,0.429
1,2012,Kuniran,0.253
1,2013,Kuniran,0.369
1,2014,Kuniran,0.357
1,2015,Kuniran,0.267
2,2e3,Kuniran,0.17
2,2001,Kuniran,0.191
2,2002,Kuniran,0.172
2,2003,Kuniran,0.128
2,2004,Kuniran,0.176
2,2005,Kuniran,0.138
2,2006,Kuniran,0.138
2,2007,Kuniran,0.121
2,2008,Kuniran,0.101
2,2009,Kuniran,0.091
2,2010,Kuniran,0.055
2,2011,Kuniran,0.06
2,2012,Kuniran,0.064
2,2013,Kuniran,0.087
2,2014,Kuniran,0.085
2,2015,Kuniran,0.029
3,2e3,Kuniran,1.143
3,2001,Kuniran,1.182
3,2002,Kuniran,1.11
3,2003,Kuniran,1.012
3,2004,Kuniran,1.178
3,2005,Kuniran,0.924
3,2006,Kuniran,0.712
3,2007,Kuniran,0.78
3,2008,Kuniran,0.45
3,2009,Kuniran,0.405
3,2010,Kuniran,0.345
3,2011,Kuniran,0.421
3,2012,Kuniran,0.253
3,2013,Kuniran,0.364
3,2014,Kuniran,0.368
3,2015,Kuniran,0.308
4,2e3,Kuniran,0.19
4,2001,Kuniran,0.223
4,2002,Kuniran,0.237
4,2003,Kuniran,0.156
4,2004,Kuniran,0.15
4,2005,Kuniran,0.119
4,2006,Kuniran,0.177
4,2007,Kuniran,0.153
4,2008,Kuniran,0.153
4,2009,Kuniran,0.138
4,2010,Kuniran,0.13
4,2011,Kuniran,0.121
4,2012,Kuniran,0.036
4,2013,Kuniran,0.066
4,2014,Kuniran,0.064
4,2015,Kuniran,0.055
5,2e3,Kuniran,1.184
5,2001,Kuniran,1.267
5,2002,Kuniran,0.601
5,2003,Kuniran,0.543
5,2004,Kuniran,0.617
5,2005,Kuniran,0.479
5,2006,Kuniran,0.434
5,2007,Kuniran,0.428
5,2008,Kuniran,0.416
5,2009,Kuniran,0.375
5,2010,Kuniran,0.273
5,2011,Kuniran,0.247
5,2012,Kuniran,0.145
5,2013,Kuniran,0.214
5,2014,Kuniran,0.205
5,2015,Kuniran,0.202
7,2e3,Kuniran,2.284
7,2001,Kuniran,2.445
7,2002,Kuniran,2.279
7,2003,Kuniran,2.294
7,2004,Kuniran,2.651
7,2005,Kuniran,2.032
7,2006,Kuniran,2.043
7,2007,Kuniran,1.754
7,2008,Kuniran,1.939
7,2009,Kuniran,1.747
7,2010,Kuniran,1.517
7,2011,Kuniran,1.43
7,2012,Kuniran,0.842
7,2013,Kuniran,1.234
7,2014,Kuniran,1.193
7,2015,Kuniran,1.181
8,2e3,Kuniran,1.602
8,2001,Kuniran,1.503
8,2002,Kuniran,1.591
8,2003,Kuniran,1.618
8,2004,Kuniran,1.93
8,2005,Kuniran,1.54
8,2006,Kuniran,1.301
8,2007,Kuniran,1.156
8,2008,Kuniran,0.917
8,2009,Kuniran,0.826
8,2010,Kuniran,0.902
8,2011,Kuniran,0.603
8,2012,Kuniran,0.37
8,2013,Kuniran,0.586
8,2014,Kuniran,0.58
8,2015,Kuniran,0.78
9,2e3,Kuniran,0.149
9,2001,Kuniran,0.159
9,2002,Kuniran,0.195
9,2003,Kuniran,0.117
9,2004,Kuniran,0.138
9,2005,Kuniran,0.109
9,2006,Kuniran,0.113
9,2007,Kuniran,0.108
9,2008,Kuniran,0.107
9,2009,Kuniran,0.096
9,2010,Kuniran,0.07
9,2011,Kuniran,0.063
9,2012,Kuniran,0.037
9,2013,Kuniran,0.067
9,2014,Kuniran,0.077
9,2015,Kuniran,0.078
