rgn_id,habitat,layer,boolean
1,mangrove,element_wts_hab_pres_abs,1
1,seagrass,element_wts_hab_pres_abs,1
1,coral,element_wts_hab_pres_abs,1
2,mangrove,element_wts_hab_pres_abs,1
2,seagrass,element_wts_hab_pres_abs,1
2,coral,element_wts_hab_pres_abs,1
4,mangrove,element_wts_hab_pres_abs,1
4,seagrass,element_wts_hab_pres_abs,1
4,coral,element_wts_hab_pres_abs,1
5,mangrove,element_wts_hab_pres_abs,1
5,seagrass,element_wts_hab_pres_abs,1
5,coral,element_wts_hab_pres_abs,1
6,seagrass,element_wts_hab_pres_abs,1
6,coral,element_wts_hab_pres_abs,1
7,mangrove,element_wts_hab_pres_abs,1
7,seagrass,element_wts_hab_pres_abs,1
7,coral,element_wts_hab_pres_abs,1
8,coral,element_wts_hab_pres_abs,1
