rgn_id,year,nb_tourist
1,2009,23967
1,2010,92522
1,2011,148280
1,2012,173996
1,2013,171672
1,2014,215565
2,2009,358304
2,2010,404720
2,2011,297646
2,2012,803567
2,2013,820999
2,2014,1129306
3,2009,1789735
3,2010,2142913
3,2011,2312252
3,2012,3092434
3,2013,3045688
3,2014,3123205
4,2009,45690
4,2010,49158
4,2011,76390
4,2012,85468
4,2013,121313
4,2014,88568
5,2009,76020
5,2010,107841
5,2011,75946
5,2012,136450
5,2013,127918
5,2014,82238
6,2009,57538
6,2010,87910
6,2011,81619
6,2012,189330
6,2013,92039
6,2014,192871
7,2009,NA
7,2010,44669
7,2011,132095
7,2012,127836
7,2013,185909
7,2014,220751
8,2009,NA
8,2010,NA
8,2011,NA
8,2012,NA
8,2013,NA
8,2014,NA
