rgn_id,year,mg/l
1,2009,10.3
2,2009,10.133333333333333
3,2009,8.8
4,2009,10.85
5,2009,11.4
6,2009,12.5
7,2009,10.3
8,2009,8.1
1,2010,10.3
2,2010,10.133333333333333
3,2010,8.8
4,2010,10.85
5,2010,11.4
6,2010,12.5
7,2010,10.3
8,2010,8.1
1,2011,6.339
2,2011,6.23
3,2011,7.13
4,2011,6.73
5,2011,6.71
6,2011,6.54
7,2011,6.89
8,2011,6.6
1,2012,6.1374
2,2012,6.314285714285714
4,2012,6.0375
5,2012,5.945714285714286
6,2012,6.2034
7,2012,6.23
8,2012,6.352666666666667
1,2013,7.6675
2,2013,7.868333333333333
3,2013,8.084
4,2013,7.354
5,2013,7.53875
6,2013,7.651666666666667
7,2013,7.645
8,2013,7.6899999999999995
1,2014,6.5600000000000005
2,2014,7.230909090909091
3,2014,7.09
4,2014,7.2
5,2014,7.14
6,2014,7.2725
7,2014,6.37
8,2014,7.300000000000001
1,2015,7.050000000000001
2,2015,6.9
3,2015,7.12
4,2015,6.8225
5,2015,7.08
6,2015,8.5975
7,2015,6.92
8,2015,7.18
