rgn_id,year,trend
1,2014,-3.0000000000000004
1,2017,-3.0000000000000004
1,2013,-3.0000000000000004
1,2015,-3.0000000000000004
1,2016,-3.0000000000000004
2,2013,0.5000000000000084
2,2016,0.5000000000000084
2,2014,0.5000000000000084
2,2017,0.5000000000000084
2,2015,0.5000000000000084
3,2014,4.965068306494546e-16
3,2015,4.965068306494546e-16
3,2017,4.965068306494546e-16
3,2013,4.965068306494546e-16
3,2016,4.965068306494546e-16
4,2015,1.0000000000000102
4,2016,1.0000000000000102
4,2013,1.0000000000000102
4,2014,1.0000000000000102
4,2017,1.0000000000000102
5,2014,NA
5,2015,NA
5,2016,NA
5,2013,NA
5,2017,NA
6,2014,NA
6,2015,NA
6,2016,NA
6,2017,NA
6,2013,NA
7,2013,-1.0000000000000253
7,2015,-1.0000000000000253
7,2016,-1.0000000000000253
7,2017,-1.0000000000000253
7,2014,-1.0000000000000253
8,2017,NA
8,2013,NA
8,2015,NA
8,2016,NA
8,2014,NA
9,2013,-2.0000000000000506
9,2014,-2.0000000000000506
9,2015,-2.0000000000000506
9,2016,-2.0000000000000506
9,2017,-2.0000000000000506
