rgn_id,year,vessel
1,2000,2901
1,2001,1684
1,2002,2331
1,2003,2329
1,2004,1783
1,2005,1823
1,2006,1838
1,2007,1985
1,2008,1855
1,2009,1855
1,2010,2204
1,2011,1870
1,2012,1870
1,2013,1874
1,2014,1874
1,2015,1477
1,2016,1487
2,2000,258
2,2001,271
2,2002,269
2,2003,223
2,2004,270
2,2005,277
2,2006,299
2,2007,305
2,2008,259
2,2009,259
2,2010,215
2,2011,262
2,2012,468
2,2013,439
2,2014,442
2,2015,157
2,2016,162
3,2000,1834
3,2001,1735
3,2002,1734
3,2003,1770
3,2004,1811
3,2005,1861
3,2006,1540
3,2007,1964
3,2008,1150
3,2009,1150
3,2010,1348
3,2011,1825
3,2012,1862
3,2013,1840
3,2014,1922
3,2015,1692
3,2016,1692
4,2000,288
4,2001,317
4,2002,371
4,2003,272
4,2004,231
4,2005,240
4,2006,382
4,2007,385
4,2008,391
4,2009,391
4,2010,507
4,2011,526
4,2012,267
4,2013,333
4,2014,333
4,2015,303
4,2016,303
5,2000,1796
5,2001,1800
5,2002,939
5,2003,949
5,2004,950
5,2005,970
5,2006,939
5,2007,1079
5,2008,1065
5,2009,1065
5,2010,1065
5,2011,1070
5,2012,1070
5,2013,1080
5,2014,1070
5,2015,1110
5,2016,1110
7,2000,3465
7,2001,3472
7,2002,3560
7,2003,4011
7,2004,4074
7,2005,4090
7,2006,4418
7,2007,4418
7,2008,4960
7,2009,4960
7,2010,5923
7,2011,6204
7,2012,6204
7,2013,6228
7,2014,6228
7,2015,6471
7,2016,5610
8,2000,2454
8,2001,2142
8,2002,2486
8,2003,2829
8,2004,3019
8,2005,3140
8,2006,2850
8,2007,2954
8,2008,2359
8,2009,2359
8,2010,3573
8,2011,2685
8,2012,2745
8,2013,3033
8,2014,3026
8,2015,4383
8,2016,4419
9,2000,755
9,2001,755
9,2002,849
9,2003,720
9,2004,981
9,2005,989
9,2006,874
9,2007,902
9,2008,1074
9,2009,1074
9,2010,987
9,2011,907
9,2012,907
9,2013,968
9,2014,1359
9,2015,1326
9,2016,2137
