rgn_id,year,meter
1,2012,68.91
1,2013,70.54
1,2014,65.84
1,2015,66.71
1,2016,69.45
2,2012,57.21
2,2013,67.18
2,2014,64.535
2,2015,59.32000000000001
2,2016,69.97
3,2012,43.48
3,2013,65.08
3,2014,57.81
3,2015,53.2
3,2016,68.66
4,2012,60.02
4,2013,67.46
4,2014,67.8
4,2015,62.81
4,2016,68.09
5,2012,73.29
5,2013,72.99
5,2014,73.76
5,2015,72.86
5,2016,72.91
6,2012,70.58
6,2013,72.51
6,2014,70.61
6,2015,71.49
6,2016,71.77
7,2012,70.03999999999999
7,2013,71.63499999999999
7,2014,69.03
7,2015,69.305
7,2016,70.545
8,2012,68.65
8,2013,70.97
8,2014,66.78
8,2015,65.25
8,2016,69.53
