rgn_id,year,species,catch
1,2e3,Swanggi_Mata_besar,1.55
1,2001,Swanggi_Mata_besar,0.582
1,2002,Swanggi_Mata_besar,1.461
1,2003,Swanggi_Mata_besar,1.469
1,2004,Swanggi_Mata_besar,0.435
1,2005,Swanggi_Mata_besar,1.27
1,2006,Swanggi_Mata_besar,1.352
1,2007,Swanggi_Mata_besar,0.743
1,2008,Swanggi_Mata_besar,0.603
1,2009,Swanggi_Mata_besar,2.866
1,2010,Swanggi_Mata_besar,6.419
1,2011,Swanggi_Mata_besar,1.145
1,2012,Swanggi_Mata_besar,0.758
1,2013,Swanggi_Mata_besar,0.981
1,2014,Swanggi_Mata_besar,0.96
1,2015,Swanggi_Mata_besar,0.668
2,2e3,Swanggi_Mata_besar,0.138
2,2001,Swanggi_Mata_besar,0.094
2,2002,Swanggi_Mata_besar,0.169
2,2003,Swanggi_Mata_besar,0.141
2,2004,Swanggi_Mata_besar,0.066
2,2005,Swanggi_Mata_besar,0.194
2,2006,Swanggi_Mata_besar,0.221
2,2007,Swanggi_Mata_besar,0.115
2,2008,Swanggi_Mata_besar,0.084
2,2009,Swanggi_Mata_besar,0.4
2,2010,Swanggi_Mata_besar,0.629
2,2011,Swanggi_Mata_besar,0.161
2,2012,Swanggi_Mata_besar,0.191
2,2013,Swanggi_Mata_besar,0.231
2,2014,Swanggi_Mata_besar,0.228
2,2015,Swanggi_Mata_besar,0.072
3,2e3,Swanggi_Mata_besar,0.927
3,2001,Swanggi_Mata_besar,0.58
3,2002,Swanggi_Mata_besar,1.087
3,2003,Swanggi_Mata_besar,1.117
3,2004,Swanggi_Mata_besar,0.442
3,2005,Swanggi_Mata_besar,1.301
3,2006,Swanggi_Mata_besar,1.138
3,2007,Swanggi_Mata_besar,0.738
3,2008,Swanggi_Mata_besar,0.374
3,2009,Swanggi_Mata_besar,1.777
3,2010,Swanggi_Mata_besar,3.942
3,2011,Swanggi_Mata_besar,1.122
3,2012,Swanggi_Mata_besar,0.758
3,2013,Swanggi_Mata_besar,0.968
3,2014,Swanggi_Mata_besar,0.99
3,2015,Swanggi_Mata_besar,0.771
4,2e3,Swanggi_Mata_besar,0.154
4,2001,Swanggi_Mata_besar,0.109
4,2002,Swanggi_Mata_besar,0.233
4,2003,Swanggi_Mata_besar,0.172
4,2004,Swanggi_Mata_besar,0.056
4,2005,Swanggi_Mata_besar,0.168
4,2006,Swanggi_Mata_besar,0.282
4,2007,Swanggi_Mata_besar,0.145
4,2008,Swanggi_Mata_besar,0.127
4,2009,Swanggi_Mata_besar,0.604
4,2010,Swanggi_Mata_besar,1.483
4,2011,Swanggi_Mata_besar,0.323
4,2012,Swanggi_Mata_besar,0.109
4,2013,Swanggi_Mata_besar,0.175
4,2014,Swanggi_Mata_besar,0.172
4,2015,Swanggi_Mata_besar,0.138
5,2e3,Swanggi_Mata_besar,0.96
5,2001,Swanggi_Mata_besar,0.622
5,2002,Swanggi_Mata_besar,0.589
5,2003,Swanggi_Mata_besar,0.599
5,2004,Swanggi_Mata_besar,0.232
5,2005,Swanggi_Mata_besar,0.674
5,2006,Swanggi_Mata_besar,0.694
5,2007,Swanggi_Mata_besar,0.405
5,2008,Swanggi_Mata_besar,0.346
5,2009,Swanggi_Mata_besar,1.645
5,2010,Swanggi_Mata_besar,3.114
5,2011,Swanggi_Mata_besar,0.658
5,2012,Swanggi_Mata_besar,0.436
5,2013,Swanggi_Mata_besar,0.569
5,2014,Swanggi_Mata_besar,0.552
5,2015,Swanggi_Mata_besar,0.506
7,2e3,Swanggi_Mata_besar,1.852
7,2001,Swanggi_Mata_besar,1.199
7,2002,Swanggi_Mata_besar,2.231
7,2003,Swanggi_Mata_besar,2.53
7,2004,Swanggi_Mata_besar,0.994
7,2005,Swanggi_Mata_besar,2.859
7,2006,Swanggi_Mata_besar,3.264
7,2007,Swanggi_Mata_besar,1.659
7,2008,Swanggi_Mata_besar,1.613
7,2009,Swanggi_Mata_besar,7.662
7,2010,Swanggi_Mata_besar,17.32
7,2011,Swanggi_Mata_besar,3.814
7,2012,Swanggi_Mata_besar,2.527
7,2013,Swanggi_Mata_besar,3.28
7,2014,Swanggi_Mata_besar,3.211
7,2015,Swanggi_Mata_besar,2.951
8,2e3,Swanggi_Mata_besar,1.299
8,2001,Swanggi_Mata_besar,0.737
8,2002,Swanggi_Mata_besar,1.558
8,2003,Swanggi_Mata_besar,1.785
8,2004,Swanggi_Mata_besar,0.724
8,2005,Swanggi_Mata_besar,2.168
8,2006,Swanggi_Mata_besar,2.079
8,2007,Swanggi_Mata_besar,1.094
8,2008,Swanggi_Mata_besar,0.763
8,2009,Swanggi_Mata_besar,3.624
8,2010,Swanggi_Mata_besar,10.296
8,2011,Swanggi_Mata_besar,1.609
8,2012,Swanggi_Mata_besar,1.111
8,2013,Swanggi_Mata_besar,1.557
8,2014,Swanggi_Mata_besar,1.56
8,2015,Swanggi_Mata_besar,1.949
9,2e3,Swanggi_Mata_besar,0.121
9,2001,Swanggi_Mata_besar,0.078
9,2002,Swanggi_Mata_besar,0.191
9,2003,Swanggi_Mata_besar,0.129
9,2004,Swanggi_Mata_besar,0.052
9,2005,Swanggi_Mata_besar,0.154
9,2006,Swanggi_Mata_besar,0.181
9,2007,Swanggi_Mata_besar,0.103
9,2008,Swanggi_Mata_besar,0.089
9,2009,Swanggi_Mata_besar,0.422
9,2010,Swanggi_Mata_besar,0.798
9,2011,Swanggi_Mata_besar,0.168
9,2012,Swanggi_Mata_besar,0.111
9,2013,Swanggi_Mata_besar,0.179
9,2014,Swanggi_Mata_besar,0.206
9,2015,Swanggi_Mata_besar,0.196
