rgn_id,year,values
1,2013,206731389e3
1,2014,219934377e3
1,2015,22352078e4
1,2016,22371578e4
1,2017,21713798e4
2,2013,58184e5
2,2014,58184e5
2,2015,69744e5
2,2016,73004e5
2,2017,73004e5
3,2013,1928e5
3,2014,1928e5
3,2015,457115e3
3,2016,457115e3
3,2017,457115e3
4,2013,NA
4,2014,NA
4,2015,NA
4,2016,NA
4,2017,NA
5,2013,497662e3
5,2014,497662e3
5,2015,497662e3
5,2016,497662e3
5,2017,324e7
7,2013,NA
7,2014,NA
7,2015,NA
7,2016,NA
7,2017,NA
8,2013,1008329e3
8,2014,1072329e3
8,2015,1848302e3
8,2016,1848302e3
8,2017,1015929e3
9,2013,7196068e4
9,2014,7334068e4
9,2015,7410968e4
9,2016,7683968e4
9,2017,7607068e4
