rgn_id,year,species,catch
1,2e3,Layang,10.75
1,2001,Layang,174.81
1,2002,Layang,26.797
1,2003,Layang,22.53
1,2004,Layang,18.583
1,2005,Layang,65.378
1,2006,Layang,33.86
1,2007,Layang,49.465
1,2008,Layang,12.223
1,2009,Layang,26.303
1,2010,Layang,536.148
1,2011,Layang,2490.741
1,2012,Layang,344.808
1,2013,Layang,143.895
1,2014,Layang,154.99
1,2015,Layang,84.101
2,2e3,Layang,124.544
2,2001,Layang,234.435
2,2002,Layang,119.035
2,2003,Layang,121.332
2,2004,Layang,80.318
2,2005,Layang,168.272
2,2006,Layang,241.002
2,2007,Layang,112.536
2,2008,Layang,92.481
2,2009,Layang,192.891
2,2010,Layang,160.299
2,2011,Layang,577.936
2,2012,Layang,415.87
2,2013,Layang,283.942
2,2014,Layang,274.134
2,2015,Layang,307.642
3,2e3,Layang,52.705
3,2001,Layang,413.414
3,2002,Layang,79.821
3,2003,Layang,59.7
3,2004,Layang,188.077
3,2005,Layang,131.946
3,2006,Layang,144.882
3,2007,Layang,105.048
3,2008,Layang,76.783
3,2009,Layang,165.228
3,2010,Layang,114.397
3,2011,Layang,371.261
3,2012,Layang,483.38
3,2013,Layang,919.253
3,2014,Layang,818.689
3,2015,Layang,466.778
4,2e3,Layang,102.676
4,2001,Layang,301.982
4,2002,Layang,279.944
4,2003,Layang,142.883
4,2004,Layang,101.583
4,2005,Layang,162.644
4,2006,Layang,421.662
4,2007,Layang,110.11
4,2008,Layang,92.671
4,2009,Layang,199.416
4,2010,Layang,339.232
4,2011,Layang,584.978
4,2012,Layang,161.59
4,2013,Layang,88.684
4,2014,Layang,65.933
4,2015,Layang,292.843
5,2e3,Layang,99.819
5,2001,Layang,564.77
5,2002,Layang,267.654
5,2003,Layang,151.318
5,2004,Layang,79.45
5,2005,Layang,438.843
5,2006,Layang,488.644
5,2007,Layang,329.75
5,2008,Layang,151.924
5,2009,Layang,326.922
5,2010,Layang,371.694
5,2011,Layang,1010.118
5,2012,Layang,990.704
5,2013,Layang,522.773
5,2014,Layang,491.25
5,2015,Layang,532.537
6,2e3,Layang,328.083
6,2001,Layang,1115.051
6,2002,Layang,723.267
6,2003,Layang,244.052
6,2004,Layang,130.798
6,2005,Layang,347.798
6,2006,Layang,738.572
6,2007,Layang,523.603
6,2008,Layang,375.894
6,2009,Layang,808.878
6,2010,Layang,841.879
6,2011,Layang,1552.68
6,2012,Layang,1837.584
6,2013,Layang,1325.159
6,2014,Layang,1279.387
6,2015,Layang,1647.322
7,2e3,Layang,75.126
7,2001,Layang,254.97
7,2002,Layang,68.735
7,2003,Layang,36.081
7,2004,Layang,54.314
7,2005,Layang,112.776
7,2006,Layang,163.988
7,2007,Layang,113.802
7,2008,Layang,67.276
7,2009,Layang,144.77
7,2010,Layang,211.655
7,2011,Layang,338.18
7,2012,Layang,224.156
7,2013,Layang,291.733
7,2014,Layang,295.029
7,2015,Layang,304.932
8,2e3,Layang,31.297
8,2001,Layang,124.566
8,2002,Layang,69.748
8,2003,Layang,51.102
8,2004,Layang,9.877
8,2005,Layang,172.344
8,2006,Layang,165.389
8,2007,Layang,81.686
8,2008,Layang,46.746
8,2009,Layang,100.591
8,2010,Layang,115.696
8,2011,Layang,154.105
8,2012,Layang,275.908
8,2013,Layang,128.409
8,2014,Layang,148.211
8,2015,Layang,166.327
