rgn_id,habitat,extent_rank,layer
1,mangrove,496.95677142857147,element_wts_cs_km2_x_storage
1,seagrass,236.70000000000002,element_wts_cs_km2_x_storage
3,mangrove,1039.1719428571428,element_wts_cs_km2_x_storage
3,seagrass,1216.44,element_wts_cs_km2_x_storage
5,mangrove,309.41995714285713,element_wts_cs_km2_x_storage
5,seagrass,302.85,element_wts_cs_km2_x_storage
7,seagrass,75.9,element_wts_cs_km2_x_storage
8,mangrove,425.4214142857143,element_wts_cs_km2_x_storage
8,seagrass,40.11,element_wts_cs_km2_x_storage
9,mangrove,904.2625142857142,element_wts_cs_km2_x_storage
9,seagrass,963.0000000000001,element_wts_cs_km2_x_storage
