rgn_id,year,mg/l
1,2009,1.2
2,2009,3.8
3,2009,5.5
4,2009,7.95
5,2009,8
6,2009,6.2
7,2009,3.3
8,2009,1.5
1,2010,1.2
2,2010,3.8
3,2010,5.5
4,2010,7.95
5,2010,8
6,2010,6.2
7,2010,3.3
8,2010,1.5
1,2011,13.976
2,2011,21.713
3,2011,13.761
4,2011,13.861
5,2011,18.076
6,2011,14.8585
7,2011,19.881
8,2011,17.9095
1,2012,11.4162
2,2012,12.617857142857142
4,2012,11.88
5,2012,10.327142857142857
6,2012,9.8034
7,2012,11.276666666666667
8,2012,10.032
1,2013,3.3375
2,2013,3.1058333333333334
3,2013,3.084
4,2013,3.162
5,2013,3.09
6,2013,3.77
7,2013,4.07
8,2013,5.0525
1,2014,3.045
2,2014,3.1145454545454547
3,2014,3.3633333333333333
4,2014,3.36
5,2014,4.09
6,2014,3.5025
7,2014,5.17
8,2014,3.765
1,2015,2.055
2,2015,1.52
3,2015,1.45
4,2015,2.245
5,2015,1.49
6,2015,0.8425
7,2015,2.55
8,2015,0.94
