rgn_id,year,pressure_score
1,2009,0.5
2,2009,0.6888888888888889
3,2009,1
4,2009,0.4666666666666666
5,2009,0.4666666666666666
6,2009,0
7,2009,0.3333333333333332
8,2009,0.9333333333333332
1,2010,0.5
2,2010,0.6888888888888889
3,2010,1
4,2010,0.4666666666666666
5,2010,0.4666666666666666
6,2010,0
7,2010,0.3333333333333332
8,2010,0.9333333333333332
1,2011,NA
2,2011,NA
3,2011,NA
4,2011,NA
5,2011,NA
6,2011,NA
7,2011,NA
8,2011,NA
1,2012,NA
2,2012,NA
4,2012,NA
5,2012,NA
6,2012,NA
7,2012,NA
8,2012,NA
1,2013,NA
2,2013,NA
3,2013,NA
4,2013,NA
5,2013,NA
6,2013,NA
7,2013,NA
8,2013,NA
1,2014,NA
2,2014,NA
3,2014,NA
4,2014,NA
5,2014,NA
6,2014,NA
7,2014,NA
8,2014,NA
1,2015,NA
2,2015,NA
3,2015,NA
4,2015,NA
5,2015,NA
6,2015,NA
7,2015,NA
8,2015,NA
