rgn_id,year,mg/l
1,2009,4.8835
2,2009,2.45
3,2009,30.43
4,2009,38.34
5,2009,25.15
6,2009,0.555
7,2009,20.85
8,2009,47.900000000000006
1,2010,4.8835
2,2010,2.45
3,2010,30.43
4,2010,38.34
5,2010,25.15
6,2010,0.555
7,2010,20.85
8,2010,47.900000000000006
1,2011,NA
2,2011,NA
3,2011,NA
4,2011,NA
5,2011,NA
6,2011,NA
7,2011,NA
8,2011,NA
1,2012,0.0018
2,2012,0.007714285714285714
4,2012,0.0365
5,2012,0.040285714285714286
6,2012,0.015799999999999998
7,2012,0.006666666666666667
8,2012,0.0013333333333333333
1,2013,NA
2,2013,NA
3,2013,NA
4,2013,NA
5,2013,NA
6,2013,NA
7,2013,NA
8,2013,NA
1,2014,NA
2,2014,NA
3,2014,NA
4,2014,NA
5,2014,NA
6,2014,NA
7,2014,NA
8,2014,NA
1,2015,NA
2,2015,NA
3,2015,NA
4,2015,NA
5,2015,NA
6,2015,NA
7,2015,NA
8,2015,NA
