rgn_id,year,mg/l
1,2009,33.675
2,2009,42.376666666666665
3,2009,NA
4,2009,NA
5,2009,NA
6,2009,27.15
7,2009,NA
8,2009,NA
1,2010,33.675
2,2010,42.376666666666665
3,2010,NA
4,2010,NA
5,2010,NA
6,2010,27.15
7,2010,NA
8,2010,NA
1,2011,32.08566666666667
2,2011,40.713
3,2011,31.2575
4,2011,31.651
5,2011,39.413
6,2011,32.762
7,2011,40.071
8,2011,36.089999999999996
1,2012,24.3364
2,2012,23.805714285714284
4,2012,19.06
5,2012,19.78142857142857
6,2012,18.477
7,2012,18.489333333333335
8,2012,18.699
1,2013,9.5
2,2013,9.5
3,2013,8.8
4,2013,9.4
5,2013,9.5
6,2013,9.333333333333334
7,2013,12
8,2013,12.75
1,2014,8.5
2,2014,8.727272727272727
3,2014,8.333333333333334
4,2014,8.75
5,2014,10
6,2014,8.5
7,2014,14
8,2014,9.5
1,2015,8.5
2,2015,8
3,2015,7.666666666666667
4,2015,8
5,2015,7.333333333333333
6,2015,7
7,2015,10
8,2015,7
