rgn_id,year,mg/l
1,2009,0.011
2,2009,0.012
3,2009,0.069
4,2009,0.07550000000000001
5,2009,NA
6,2009,0.046
7,2009,0.03
8,2009,0.0275
1,2010,0.011
2,2010,0.012
3,2010,0.069
4,2010,0.07550000000000001
5,2010,NA
6,2010,0.046
7,2010,0.03
8,2010,0.0275
1,2011,0.0125
2,2011,0.017
3,2011,0.0185
4,2011,0.019
5,2011,0.0135
6,2011,0.01715
7,2011,0.0161
8,2011,0.0155
1,2012,0.011300000000000001
2,2012,0.005071428571428571
4,2012,0.01475
5,2012,0.010857142857142857
6,2012,0.0125
7,2012,0.012666666666666666
8,2012,0.009666666666666667
1,2013,NA
2,2013,NA
3,2013,NA
4,2013,NA
5,2013,NA
6,2013,NA
7,2013,NA
8,2013,NA
1,2014,NA
2,2014,NA
3,2014,NA
4,2014,NA
5,2014,NA
6,2014,NA
7,2014,NA
8,2014,NA
1,2015,NA
2,2015,NA
3,2015,NA
4,2015,NA
5,2015,NA
6,2015,NA
7,2015,NA
8,2015,NA
