region,year,pukat_pantai,pukat_cincin,insang_hanyut,jaring_klitik,insang_tetap,jaring_tiga_lapis,serok,bagan_perahu,rawai_tuna,rawai_hanyut,rawai_tetap,rawai_tetap_dasar,pancing_tonda,pancing_ulur,pancing,bubu,alat_rumput_laut,jala_tebar,garpu_tombak
Jembrana,2011,9,115,268,343,995,,0,,0,0,180,,172,,,0,0,,
Tabanan,2011,0,0,78,467,155,,0,,0,0,0,,0,,,730,0,,
Badung,2011,0,0,1050,660,0,,0,,0,0,0,,700,,,0,125,,
Gianyar,2011,0,0,136,169,0,,14,,0,0,0,,145,,,200,0,,
Klungkung,2011,0,0,727,0,0,,0,,0,0,0,,831,,,0,0,,
Karangasem,2011,11,12,3741,0,0,,0,,0,346,0,,4422,,,100,0,,
Buleleng,2011,137,41,1070,0,192,,2,,0,0,0,,2123,,,27,0,,
Denpasar,2011,0,19,414,164,202,,31,,530,0,0,,158,,,0,52,,
Jembrana,2012,22,67,53,282,84,83,7,0,0,30,0,0,6,4,0,85,0,18,0
Tabanan,2012,0,0,78,467,118,166,0,0,0,0,0,0,0,45,478,564,0,1213,0
Badung,2012,0,0,426,660,0,0,20,0,0,0,78,78,675,134,234,10,125,377,0
Gianyar,2012,0,0,367,169,0,0,112,0,0,0,207,207,112,187,295,230,0,0,0
Klungkung,2012,0,0,1086,0,0,0,0,0,0,0,0,0,85,277,0,0,0,0,3
Karangasem,2012,17,13,4426,0,0,0,0,0,0,200,0,0,5565,1573,56,48,0,0,10
Buleleng,2012,166,44,841,0,285,0,0,73,0,0,0,0,1854,2660,461,73,0,0,0
Denpasar,2012,0,20,0,12,100,0,32,0,706,0,107,107,118,990,58,0,10,0,0
Jembrana,2013,22,67,53,282,84,83,2,0,0,0,0,0,,4,0,3,0,18,0
Tabanan,2013,0,0,312,341,256,170,0,0,0,0,0,0,0,90,0,5282,0,971,0
Badung,2013,0,0,426,660,0,0,20,0,0,0,0,16,675,768,0,10,125,377,0
Gianyar,2013,0,0,294,0,0,0,71,0,0,0,0,125,190,187,0,253,0,0,0
Klungkung,2013,0,0,1096,0,0,0,0,0,0,0,0,0,847,1080,0,0,0,0,10
Karangasem,2013,17,41,4456,0,0,0,0,0,0,200,0,0,5565,3190,0,283,0,0,10
Buleleng,2013,131,41,923,0,169,0,0,70,0,0,0,0,1737,1908,0,33,0,0,0
Denpasar,2013,0,20,0,12,100,0,41,0,706,0,0,107,163,990,0,0,20,0,11
Jembrana,2014,0,68,53,282,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Tabanan,2014,0,0,260,280,170,110,0,0,0,0,0,0,0,107,0,4580,0,891,0
Badung,2014,0,0,426,660,0,0,20,0,0,0,0,16,675,768,0,10,125,377,0
Gianyar,2014,0,0,231,379,0,0,42,0,0,0,0,125,213,196,0,257,0,0,0
Klungkung,2014,0,0,1207,0,0,0,0,0,0,0,0,0,831,1139,0,0,0,0,0
Karangasem,2014,17,41,4456,0,0,0,0,0,0,200,0,0,5565,3190,0,283,0,0,10
Buleleng,2014,131,41,903,0,169,0,0,70,0,0,0,0,1737,1798,0,33,0,0,0
Denpasar,2014,0,20,0,12,100,0,41,0,706,0,0,163,154,990,91,0,20,0,11
Jembrana,2015,20,638,517,0,0,0,0,0,0,0,0,0,0,1902,0,0,0,0,0
Tabanan,2015,0,0,181,21,29,1,0,0,0,0,0,0,0,536,0,2592,0,211,0
Badung,2015,0,0,426,660,0,0,20,0,0,0,0,16,675,768,0,10,125,377,0
Gianyar,2015,0,0,231,379,0,0,42,0,0,0,0,125,213,196,0,257,0,0,0
Klungkung,2015,0,0,1110,0,29,0,0,0,0,0,0,0,831,956,0,0,0,0,0
Karangasem,2015,17,18,6174,0,0,0,0,0,77,78,0,69,5812,3345,0,246,0,0,10
Buleleng,2015,131,41,903,282,97,0,0,70,0,0,0,0,1737,1798,0,33,0,0,0
Denpasar,2015,0,100,6,12,3,0,13,0,706,4,0,82,241,239,91,0,20,8,11
