species,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015
kurau,NA,NA,7,80,64,NA,NA,447,56
Manyung,368,257,51,157,689,184,876,868,1105
Layur,2303,1581,1827,3375,3626,2075,1941,1977,4322
Kurisi,4557,4342,4969,3958,4144,2885,314,3293,3491
Kuniran,50,10,610,233,344,580,559,548,543
Swanggi/Mata besar,150,153,148,296,350,178,265,263,242
Beloso,505,2092,1067,481,595,549,202,220,522
Golok-golok,429,195,207,115,268,132,378,395,272
Gulamah/Tigawaja,662,451,315,336,391,262,818,1128,1750
Kakap merah/Bambangan,7519,8935,9958,7659,6862,6059,4981,5383,7389
Kerapu,11400,11521,12488,10469,10244,8798,9759,10460,15643
Kuwe,3869,3828,4174,3507,3960,3048,4099,3823,3754
Ikan lidah,3,366,56,19,NA,2,12,12,63
Banyar,154,95,270,277,372,339,NA,757,1096
Kembung,15515,15279,14987,15100,11882,11947,5889,19036,16779
Ikan terbang,5361,5106,4298,1958,2842,2440,NA,3617,4445
Layang,17324,15465,19733,17061,21572,17591,23582,22460,24210
