rgn_id,region,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015
1,Denpasar,8903,8935,8924,9101,9145
2,Badung,1734,1274,1040,1392,1430
3,Tabanan,2337,2166,1806,1956,2213
4,Jembrana,10029,10173,10173,10173,10173
5,Buleleng,6813,7180,7150,7058,5583
6,Karangasem,6579,6643,6643,6643,6649
7,Klungkung,1080,1080,1132,1296,1212
8,Gianyar,1264,1271,1046,939,954
