provinces,species,year,ton
Bali,kurau,2009,NA
Bali,kurau,2008,NA
Bali,kurau,2007,NA
Bali,kurau,2006,NA
Bali,kurau,2005,NA
Bali,kurau,2004,NA
Bali,kurau,2003,NA
Bali,kurau,2002,NA
Bali,kurau,2001,NA
Bali,kurau,2000,NA
Bali,kurau,2010,NA
Bali,kurau,2011,NA
Bali,kurau,2012,NA
Nusa Tenggara Timur,kurau,2009,NA
Nusa Tenggara Timur,kurau,2008,NA
Nusa Tenggara Timur,kurau,2007,NA
Nusa Tenggara Timur,kurau,2006,NA
Nusa Tenggara Timur,kurau,2005,NA
Nusa Tenggara Timur,kurau,2004,NA
Nusa Tenggara Timur,kurau,2003,NA
Nusa Tenggara Timur,kurau,2002,NA
Nusa Tenggara Timur,kurau,2001,NA
Nusa Tenggara Timur,kurau,2000,NA
Nusa Tenggara Timur,kurau,2010,71
Nusa Tenggara Timur,kurau,2011,64
Nusa Tenggara Timur,kurau,2012,NA
Nusa Tenggara Barat,kurau,2009,7
Nusa Tenggara Barat,kurau,2008,NA
Nusa Tenggara Barat,kurau,2007,NA
Nusa Tenggara Barat,kurau,2006,NA
Nusa Tenggara Barat,kurau,2005,NA
Nusa Tenggara Barat,kurau,2004,NA
Nusa Tenggara Barat,kurau,2003,NA
Nusa Tenggara Barat,kurau,2002,NA
Nusa Tenggara Barat,kurau,2001,NA
Nusa Tenggara Barat,kurau,2000,NA
Nusa Tenggara Barat,kurau,2010,9
Nusa Tenggara Barat,kurau,2011,NA
Nusa Tenggara Barat,kurau,2012,NA
Bali,Manyung,2009,28
Bali,Kuwe,2009,10
Bali,Layang,2009,1965
Bali,Golok-golok,2009,
Bali,Beloso/Buntut kerbo,2009,
Bali,Ikan lidah,2009,
Bali,Ikan terbang,2009,386
Bali,Kakap merah/Bambangan,2009,134
Bali,Kuniran,2009,
Bali,Kurisi,2009,407
Bali,Swanggi/Mata besar,2009,19
Bali,Gulamah/Tigawaja,2009,
Bali,Kembung,2009,686
Bali,Banyar,2009,
Bali,Kerapu karang,2009,623
Bali,Kerapu bebek,2009,
Bali,Kerapu balong,2009,
Bali,Kerapu lumpur,2009,
Bali,Kerapu sunu,2009,
Bali,Layur,2009,350
Nusa Tenggara Barat,Manyung,2009,23
Nusa Tenggara Barat,Kuwe,2009,2550
Nusa Tenggara Barat,Layang,2009,7010
Nusa Tenggara Barat,Golok-golok,2009,72
Nusa Tenggara Barat,Beloso/Buntut kerbo,2009,364
Nusa Tenggara Barat,Ikan lidah,2009,18
Nusa Tenggara Barat,Ikan terbang,2009,150
Nusa Tenggara Barat,Kakap merah/Bambangan,2009,4220
Nusa Tenggara Barat,Kuniran,2009,610
Nusa Tenggara Barat,Kurisi,2009,2498
Nusa Tenggara Barat,Swanggi/Mata besar,2009,129
Nusa Tenggara Barat,Gulamah/Tigawaja,2009,311
Nusa Tenggara Barat,Kembung,2009,7380
Nusa Tenggara Barat,Banyar,2009,261
Nusa Tenggara Barat,Kerapu karang,2009,4116
Nusa Tenggara Barat,Kerapu bebek,2009,88
Nusa Tenggara Barat,Kerapu balong,2009,15
Nusa Tenggara Barat,Kerapu lumpur,2009,120
Nusa Tenggara Barat,Kerapu sunu,2009,305
Nusa Tenggara Barat,Layur,2009,1166
