"goal","dimension","region_id","score"
"AO","future",0,40.6
"AO","future",1,36.56
"AO","future",2,3.43
"AO","future",3,35.9
"AO","future",4,6.58
"AO","future",5,27.92
"AO","future",7,58.65
"AO","future",8,55.84
"AO","future",9,9.43
"AO","pressures",1,30.81
"AO","pressures",2,30.81
"AO","pressures",3,30.81
"AO","pressures",4,30.81
"AO","pressures",5,30.81
"AO","pressures",7,30.81
"AO","pressures",8,30.81
"AO","pressures",9,30.81
"AO","resilience",1,100
"AO","resilience",2,50
"AO","resilience",3,50
"AO","resilience",4,50
"AO","resilience",5,100
"AO","resilience",7,100
"AO","resilience",8,100
"AO","resilience",9,50
"AO","score",0,37.17
"AO","score",1,33.37
"AO","score",2,3.33
"AO","score",3,35
"AO","score",4,6.41
"AO","score",5,25.39
"AO","score",7,52.84
"AO","score",8,50.62
"AO","score",9,9.14
"AO","status",0,33.74
"AO","status",1,30.17
"AO","status",2,3.24
"AO","status",3,34.1
"AO","status",4,6.24
"AO","status",5,22.86
"AO","status",7,47.02
"AO","status",8,45.4
"AO","status",9,8.84
"AO","trend",1,-0.02
"AO","trend",2,-0.01
"AO","trend",3,-0.02
"AO","trend",4,-0.01
"AO","trend",5,-0.01
"AO","trend",7,0.03
"AO","trend",8,0
"AO","trend",9,0.01
"BD","future",0,91.74
"BD","future",1,97.67
"BD","future",2,73.12
"BD","future",3,87.09
"BD","future",4,81.57
"BD","future",5,88
"BD","future",6,
"BD","future",7,92.87
"BD","future",8,99
"BD","future",9,87.33
"BD","pressures",1,42.97
"BD","pressures",2,42.97
"BD","pressures",3,42.97
"BD","pressures",4,42.97
"BD","pressures",5,42.97
"BD","pressures",7,42.97
"BD","pressures",8,42.97
"BD","pressures",9,42.97
"BD","resilience",1,66.67
"BD","resilience",2,8.33
"BD","resilience",3,16.67
"BD","resilience",4,12.5
"BD","resilience",5,41.67
"BD","resilience",7,37.5
"BD","resilience",8,70.83
"BD","resilience",9,37.5
"BD","score",0,93.75
"BD","score",1,96.99
"BD","score",2,81.56
"BD","score",3,92.39
"BD","score",4,87.85
"BD","score",5,90.08
"BD","score",6,
"BD","score",7,94.91
"BD","score",8,98.04
"BD","score",9,92.01
"BD","status",0,95.76
"BD","status",1,96.32
"BD","status",2,90
"BD","status",3,97.69
"BD","status",4,94.12
"BD","status",5,92.15
"BD","status",7,96.94
"BD","status",8,97.08
"BD","status",9,96.69
"BD","trend",1,-0.05
"BD","trend",2,-0.11
"BD","trend",3,-0.05
"BD","trend",4,-0.05
"BD","trend",5,-0.08
"BD","trend",6,-0.12
"BD","trend",7,-0.04
"BD","trend",8,-0.05
"BD","trend",9,-0.07
"CP","future",0,35.9
"CP","future",1,27.73
"CP","future",2,
"CP","future",3,53.74
"CP","future",4,0.92
"CP","future",5,31.91
"CP","future",7,12.58
"CP","future",8,57.32
"CP","future",9,33.66
"CP","pressures",1,47.17
"CP","pressures",2,
"CP","pressures",3,46.73
"CP","pressures",4,45.25
"CP","pressures",5,46.3
"CP","pressures",7,45.14
"CP","pressures",8,46.32
"CP","pressures",9,47.07
"CP","resilience",1,89.6
"CP","resilience",2,
"CP","resilience",3,28.32
"CP","resilience",4,12.5
"CP","resilience",5,55.72
"CP","resilience",7,39.36
"CP","resilience",8,96.47
"CP","resilience",9,24.21
"CP","score",0,34.73
"CP","score",1,26.05
"CP","score",2,
"CP","score",3,55.42
"CP","score",4,0.97
"CP","score",5,31.39
"CP","score",7,12.67
"CP","score",8,53.1
"CP","score",9,35.07
"CP","status",0,33.56
"CP","status",1,24.36
"CP","status",2,
"CP","status",3,57.09
"CP","status",4,1.03
"CP","status",5,30.86
"CP","status",7,12.76
"CP","status",8,48.88
"CP","status",9,36.47
"CP","trend",1,0
"CP","trend",2,
"CP","trend",3,0
"CP","trend",4,0
"CP","trend",5,0
"CP","trend",7,0.01
"CP","trend",8,0.01
"CP","trend",9,0
"CS","future",0,24.48
"CS","future",1,24.82
"CS","future",2,
"CS","future",3,62.6
"CS","future",4,
"CS","future",5,20.81
"CS","future",7,1.85
"CS","future",8,20.84
"CS","future",9,50.9
"CS","pressures",1,47.61
"CS","pressures",2,
"CS","pressures",3,46.61
"CS","pressures",4,
"CS","pressures",5,46.81
"CS","pressures",7,44.49
"CS","pressures",8,48.69
"CS","pressures",9,46.72
"CS","resilience",1,91.53
"CS","resilience",2,
"CS","resilience",3,30.76
"CS","resilience",4,
"CS","resilience",5,68.95
"CS","resilience",7,50
"CS","resilience",8,88.58
"CS","resilience",9,25
"CS","score",0,24.12
"CS","score",1,23.28
"CS","score",2,
"CS","score",3,64.54
"CS","score",4,
"CS","score",5,20.12
"CS","score",7,1.84
"CS","score",8,19.54
"CS","score",9,53.06
"CS","status",0,23.76
"CS","status",1,21.74
"CS","status",2,
"CS","status",3,66.48
"CS","status",4,
"CS","status",5,19.43
"CS","status",7,1.82
"CS","status",8,18.24
"CS","status",9,55.22
"CS","trend",1,0
"CS","trend",2,
"CS","trend",3,-0.01
"CS","trend",4,
"CS","trend",5,0
"CS","trend",7,0
"CS","trend",8,0.02
"CS","trend",9,-0.01
"CW","future",0,72.12
"CW","future",1,74.07
"CW","future",2,68.01
"CW","future",3,63.5
"CW","future",4,64.7
"CW","future",5,71.97
"CW","future",7,77.3
"CW","future",8,73.5
"CW","future",9,81.51
"CW","pressures",1,50.05
"CW","pressures",2,50.05
"CW","pressures",3,50.05
"CW","pressures",4,50.05
"CW","pressures",5,50.05
"CW","pressures",7,50.05
"CW","pressures",8,50.05
"CW","pressures",9,50.05
"CW","resilience",1,41.67
"CW","resilience",2,8.33
"CW","resilience",3,16.67
"CW","resilience",4,12.5
"CW","resilience",5,41.67
"CW","resilience",7,37.5
"CW","resilience",8,45.83
"CW","resilience",9,62.5
"CW","score",0,78.61
"CW","score",1,78.61
"CW","score",2,76.84
"CW","score",3,74.4
"CW","score",4,74.82
"CW","score",5,78.46
"CW","score",7,82.56
"CW","score",8,78.69
"CW","score",9,83.59
"CW","status",0,85.11
"CW","status",1,83.15
"CW","status",2,85.66
"CW","status",3,85.3
"CW","status",4,84.95
"CW","status",5,84.95
"CW","status",7,87.81
"CW","status",8,83.87
"CW","status",9,85.66
"CW","trend",1,-0.12
"CW","trend",2,-0.1
"CW","trend",3,-0.22
"CW","trend",4,-0.17
"CW","trend",5,-0.19
"CW","trend",7,-0.12
"CW","trend",8,-0.16
"CW","trend",9,-0.13
"FIS","future",0,63.9
"FIS","future",1,61.76
"FIS","future",2,2.69
"FIS","future",3,58.12
"FIS","future",4,2.58
"FIS","future",5,9.88
"FIS","future",7,100
"FIS","future",8,97.39
"FIS","future",9,46.59
"FIS","pressures",1,25.71
"FIS","pressures",2,25.71
"FIS","pressures",3,25.71
"FIS","pressures",4,25.71
"FIS","pressures",5,25.71
"FIS","pressures",7,25.71
"FIS","pressures",8,25.71
"FIS","pressures",9,25.71
"FIS","resilience",1,100
"FIS","resilience",2,50
"FIS","resilience",3,50
"FIS","resilience",4,50
"FIS","resilience",5,100
"FIS","resilience",7,100
"FIS","resilience",8,100
"FIS","resilience",9,50
"FIS","score",0,59.39
"FIS","score",1,55.24
"FIS","score",2,2.59
"FIS","score",3,54.86
"FIS","score",4,2.48
"FIS","score",5,8.91
"FIS","score",7,98.24
"FIS","score",8,87.01
"FIS","score",9,45.52
"FIS","status",0,54.88
"FIS","status",1,48.72
"FIS","status",2,2.49
"FIS","status",3,51.61
"FIS","status",4,2.39
"FIS","status",5,7.95
"FIS","status",7,96.48
"FIS","status",8,76.63
"FIS","status",9,44.45
"FIS","trend",1,0.03
"FIS","trend",2,0
"FIS","trend",3,0.07
"FIS","trend",4,0
"FIS","trend",5,0
"FIS","trend",7,0.02
"FIS","trend",8,0.04
"FIS","trend",9,-0.05
"FP","future",0,62.95
"FP","future",1,61.74
"FP","future",2,2.69
"FP","future",3,61.91
"FP","future",4,2.58
"FP","future",5,8.08
"FP","future",7,99.97
"FP","future",8,92.81
"FP","future",9,45.28
"FP","pressures",1,31.69
"FP","pressures",2,31.69
"FP","pressures",3,31.69
"FP","pressures",4,31.69
"FP","pressures",5,31.69
"FP","pressures",7,31.69
"FP","pressures",8,31.69
"FP","pressures",9,31.69
"FP","resilience",1,50
"FP","resilience",2,25
"FP","resilience",3,25
"FP","resilience",4,25
"FP","resilience",5,37.5
"FP","resilience",7,37.5
"FP","resilience",8,37.5
"FP","resilience",9,25
"FP","score",0,58.69
"FP","score",1,55.22
"FP","score",2,2.59
"FP","score",3,58.82
"FP","score",4,2.48
"FP","score",5,7.29
"FP","score",7,98.21
"FP","score",8,83.18
"FP","score",9,44.25
"FP","status",0,54.42
"FP","status",1,48.71
"FP","status",2,2.49
"FP","status",3,55.74
"FP","status",4,2.39
"FP","status",5,6.5
"FP","status",7,96.45
"FP","status",8,73.55
"FP","status",9,43.21
"FP","trend",1,0.03
"FP","trend",2,0
"FP","trend",3,0.08
"FP","trend",4,0
"FP","trend",5,-0.02
"FP","trend",7,0.02
"FP","trend",8,0.04
"FP","trend",9,-0.05
"HAB","future",0,98.18
"HAB","future",1,100
"HAB","future",2,
"HAB","future",3,92.15
"HAB","future",4,91.55
"HAB","future",5,100
"HAB","future",7,100
"HAB","future",8,100
"HAB","future",9,90.81
"HAB","pressures",1,46.11
"HAB","pressures",2,
"HAB","pressures",3,46.11
"HAB","pressures",4,44.74
"HAB","pressures",5,46.11
"HAB","pressures",7,44.62
"HAB","pressures",8,46.11
"HAB","pressures",9,46.11
"HAB","resilience",1,91.67
"HAB","resilience",2,
"HAB","resilience",3,25
"HAB","resilience",4,12.5
"HAB","resilience",5,58.33
"HAB","resilience",7,43.75
"HAB","resilience",8,95.83
"HAB","resilience",9,20.83
"HAB","score",0,98.28
"HAB","score",1,98.91
"HAB","score",2,
"HAB","score",3,94.99
"HAB","score",4,95.73
"HAB","score",5,98.91
"HAB","score",7,99.98
"HAB","score",8,98.91
"HAB","score",9,94.31
"HAB","status",0,98.38
"HAB","status",1,97.82
"HAB","status",2,
"HAB","status",3,97.82
"HAB","status",4,99.91
"HAB","status",5,97.82
"HAB","status",7,99.95
"HAB","status",8,97.82
"HAB","status",9,97.82
"HAB","trend",1,0.02
"HAB","trend",2,
"HAB","trend",3,0.02
"HAB","trend",4,0.03
"HAB","trend",5,0.02
"HAB","trend",7,0.02
"HAB","trend",8,0.02
"HAB","trend",9,0.02
"ICO","future",0,36.6
"ICO","future",1,36.13
"ICO","future",2,30.59
"ICO","future",3,29.32
"ICO","future",4,30.17
"ICO","future",5,42.09
"ICO","future",7,43.36
"ICO","future",8,35.7
"ICO","future",9,29.74
"ICO","pressures",1,33.23
"ICO","pressures",2,26.56
"ICO","pressures",3,36.56
"ICO","pressures",4,29.9
"ICO","pressures",5,36.56
"ICO","pressures",7,26.56
"ICO","pressures",8,36.56
"ICO","pressures",9,33.23
"ICO","resilience",1,50
"ICO","resilience",2,0
"ICO","resilience",3,0
