"rgn_id","habitat","extent_rank","layer"
1,"mangrove",913.4941,"element_wts_cs_km2_x_storage"
2,"mangrove",1094.8613,"element_wts_cs_km2_x_storage"
4,"mangrove",486.8197,"element_wts_cs_km2_x_storage"
5,"mangrove",644.5986,"element_wts_cs_km2_x_storage"
7,"mangrove",320.0892,"element_wts_cs_km2_x_storage"
1,"seagrass",375.16,"element_wts_cs_km2_x_storage"
2,"seagrass",453.18,"element_wts_cs_km2_x_storage"
4,"seagrass",105.41,"element_wts_cs_km2_x_storage"
5,"seagrass",9.96,"element_wts_cs_km2_x_storage"
6,"seagrass",22.41,"element_wts_cs_km2_x_storage"
7,"seagrass",132.385,"element_wts_cs_km2_x_storage"
