rgn_id,years,ndvi,abg_tonc,bgb_tonc,tab_tonc,tcs_tonc,acs_tonc
1,2012,0.353118593,1845.792704,520.754165,2366.546865,1112.277021,4082.05675
1,2013,0.676448,25778.4,5528.52,31307,14714.3,54001.4
1,2014,0.740363,37607.1,7829.49,45436.6,21355.2,78373.5
1,2015,0.677694,20706.8,4324.1199,25030.9,11764.5,43175.8
1,2016,0.722414,38313.3,7991.7398,46305,21763.3,79871.5
7,2012,0.391075705,790.1115882,229.755665,1019.867252,479.3376071,1759.169052
7,2013,0.718324,13729.2,2914.66,16643.8,7822.61,16319.2
7,2014,0.739508,15636.7,3270.83,18907.6,8886.55,32613.7
7,2015,0.718388,11598.3,2410.56,14008.9,6584.1797,24163.9
7,2016,0.742944,17096.5,3568.3301,20664.9,9712.4898,35644.8
2,2012,0.320904107,1610.541473,470.8525391,2081.394007,978.2551792,3590.196576
2,2013,0.644588,26504.4,5836.94,32341.4,15200.4,55785.6
2,2014,0.722101,39009.9,8251.2,47261.1,22212.7,81520.6
2,2015,0.600895,26365.6,5629.7,31995.3,15037.8,55188.6
2,2016,0.694414,37148.3,7932.55,45080.9,21188.02,77760
4,2012,0.218385639,157.2443654,53.7230128,210.9673771,99.1546673,363.8976354
4,2013,0.660482,12830.8,2828.98,15659.8,7360.11,27011.6
4,2014,0.616142,6916.19,1578.42,8494.61,3992.46,14652.3
4,2015,0.598364,7475.2898,1702.2801,9177.5797,4313.4602,15830.4
4,2016,0.716604,18162.8,3851.7199,22014.6,10346.8,37972.9
5,2012,0.265091045,146.1567903,48.4370037,194.5937932,91.459083,335.6548398
5,2013,0.655105,13402.4,2949.53,16351.9,7685.39,28205.4
5,2014,0.630794,7668.18,1732.41,9400.59,4418.28,16215.1
5,2015,0.596295,9846.7898,2226.94,12073.7,5674.65,20826
5,2016,0.716887,19700.9,4173.0602,23874,11220.8,41180.2
