rgn_id,year,ton
1,2000,3.5
1,2001,1
1,2002,10
1,2003,NA
1,2004,200.8
1,2005,1457.8
1,2006,3498.9
1,2007,3930.5
1,2008,2797.4
1,2009,2933.7
1,2010,1351.6
1,2011,867.4
1,2012,373.7
1,2013,743.6
1,2014,315.7
1,2015,341.9
1,2016,341.9
2,2000,14371.4
2,2001,2295.3
2,2002,3709.3
2,2003,4414.8
2,2004,51813
2,2005,531334.3
2,2006,54060.3
2,2007,41538.6
2,2008,23469
2,2009,28393.5
2,2010,29026.4
2,2011,33463
2,2012,43593.5
2,2013,43986.2
2,2014,156
2,2015,311.9
2,2016,311.9
3,2000,NA
3,2001,NA
3,2002,NA
3,2003,NA
3,2004,NA
3,2005,NA
3,2006,NA
3,2007,NA
3,2008,NA
3,2009,NA
3,2010,NA
3,2011,NA
3,2012,NA
3,2013,NA
3,2014,NA
3,2015,NA
3,2016,NA
4,2000,NA
4,2001,NA
4,2002,NA
4,2003,NA
4,2004,NA
4,2005,NA
4,2006,NA
4,2007,NA
4,2008,40.7
4,2009,0.1
4,2010,29.4
4,2011,10
4,2012,7
4,2013,4.2
4,2014,NA
4,2015,4.7
4,2016,4.7
5,2000,164.5
5,2001,239.2
5,2002,40.5
5,2003,449.5
5,2004,195
5,2005,231.6
5,2006,1009.2
5,2007,1814.6
5,2008,1652.1
5,2009,1438.1
5,2010,870.8
5,2011,840.7
5,2012,398.4
5,2013,598.7
5,2014,678.6
5,2015,967.5
5,2016,96.7
6,2000,NA
6,2001,NA
6,2002,NA
6,2003,2.5
6,2004,11.1
6,2005,14.5
6,2006,12
6,2007,7.8
6,2008,6
6,2009,NA
6,2010,NA
6,2011,NA
6,2012,NA
6,2013,NA
6,2014,NA
6,2015,NA
6,2016,NA
7,2000,93072.3
7,2001,103548.5
7,2002,108125.7
7,2003,103726.1
7,2004,103833.7
7,2005,106303
7,2006,106188.4
7,2007,105015.3
7,2008,101210.2
7,2009,103234.5
7,2010,101514.6
7,2011,106951.4
7,2012,100197.1
7,2013,100859.5
7,2014,83780.8
7,2015,106295.5
7,2016,106295.5
8,2000,NA
8,2001,NA
8,2002,NA
8,2003,NA
8,2004,NA
8,2005,NA
8,2006,NA
8,2007,NA
8,2008,NA
8,2009,NA
8,2010,NA
8,2011,NA
8,2012,NA
8,2013,NA
8,2014,NA
8,2015,NA
8,2016,NA
