region,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016
jembrana,NA,NA,NA,NA,NA,NA,NA,NA,40.7,0.1,29.4,10,7,4.2,,4.7,4.7
tabanan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
badung,14371.4,2295.3,3709.3,4414.8,51813,531334.3,54060.3,41538.6,23469,28393.5,29026.4,33463,43593.5,43986.2,156,311.9,311.9
gianyar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
klungkung,93072.3,103548.5,108125.7,103726.1,103833.7,106303,106188.4,105015.3,101210.2,103234.5,101514.6,106951.4,100197.1,100859.5,83780.8,106295.5,106295.5
karangasem,NA,NA,NA,2.5,11.1,14.5,12,7.8,6,NA,NA,NA,NA,NA,NA,NA,NA
buleleng,164.5,239.2,40.5,449.5,195,231.6,1009.2,1814.6,1652.1,1438.1,870.8,840.7,398.4,598.7,678.6,967.5,96.7
denpasar,3.5,1,10,NA,200.8,1457.8,3498.9,3930.5,2797.4,2933.7,1351.6,867.4,373.7,743.6,315.7,341.9,341.9
