rgn_id,years,reg,aqua_ton,idr_aqua
4,2011,Jembrana,10,1248566
3,2011,Tabanan,,
2,2011,Badung,33.463.0,37995580
8,2011,Gianyar,,
7,2011,Klungkung,106.951.4,224125654
6,2011,Karangasem,,
5,2011,Buleleng,840.7,12326600
1,2011,Denpasar,867.4,1318160
4,2012,Jembrana,7,716880
3,2012,Tabanan,,
2,2012,Badung,43.593.5,45517870
8,2012,Gianyar,,
7,2012,Klungkung,100.197.1,83713830
6,2012,Karangasem,,
5,2012,Buleleng,398.4,19955200
1,2012,Denpasar,373.3,621400
4,2013,Jembrana,4.2,463870
3,2013,Tabanan,,
2,2013,Badung,43.986.2,55685935
8,2013,Gianyar,,0
7,2013,Klungkung,100.859.5,118462865
6,2013,Karangasem,,
5,2013,Buleleng,598.7,30751400
1,2013,Denpasar,743.6,1111050
4,2014,Jembrana,,
3,2014,Tabanan,,
2,2014,Badung,156,166100
8,2014,Gianyar,,
7,2014,Klungkung,83.780.8,138470591
6,2014,Karangasem,,
5,2014,Buleleng,678.6,33861120
1,2014,Denpasar,315.7,835680
4,2015,Jembrana,4.7,365100
3,2015,Tabanan,,
2,2015,Badung,311.9,366737
8,2015,Gianyar,,
7,2015,Klungkung,106.295.5,128738571
6,2015,Karangasem,,
5,2015,Buleleng,967.5,38605280
1,2015,Denpasar,341.9,448950
