rgn_id,year,km2
1,2011,0.9745
1,2012,1.001
1,2013,1.246125
1,2014,0.57175
1,2015,0.6665000000000001
2,2011,0.9745
2,2012,1.001
2,2013,1.246125
2,2014,0.57175
2,2015,0.6665000000000001
3,2011,0.9745
3,2012,1.001
3,2013,1.246125
3,2014,0.57175
3,2015,0.6665000000000001
4,2011,0.9745
4,2012,1.001
4,2013,1.246125
4,2014,0.57175
4,2015,0.6665000000000001
5,2011,0.9745
5,2012,1.001
5,2013,1.246125
5,2014,0.57175
5,2015,0.6665000000000001
6,2011,0.9745
6,2012,1.001
6,2013,1.246125
6,2014,0.57175
6,2015,0.6665000000000001
7,2011,0.9745
7,2012,1.001
7,2013,1.246125
7,2014,0.57175
7,2015,0.6665000000000001
8,2011,0.9745
8,2012,1.001
8,2013,1.246125
8,2014,0.57175
8,2015,0.6665000000000001
