rgn_id,year,habitat,pressure_score
1,2009,coral,NA
1,2010,coral,NA
1,2011,coral,NA
1,2012,coral,NA
1,2013,coral,NA
1,2014,coral,NA
1,2015,coral,NA
2,2009,coral,NA
2,2010,coral,NA
2,2011,coral,NA
2,2012,coral,NA
2,2013,coral,NA
2,2014,coral,NA
2,2015,coral,NA
3,2009,coral,NA
3,2010,coral,NA
3,2011,coral,NA
3,2012,coral,NA
3,2013,coral,NA
3,2014,coral,NA
3,2015,coral,NA
4,2014,coral,1
4,2015,coral,1
5,2009,coral,0.6425794648982394
5,2010,coral,0.6425794648982394
5,2011,coral,0.6425794648982394
5,2012,coral,0.6425794648982394
5,2014,coral,1
5,2015,coral,1
6,2009,coral,NA
6,2010,coral,NA
6,2011,coral,NA
6,2012,coral,NA
6,2013,coral,NA
6,2014,coral,NA
6,2015,coral,NA
7,2009,coral,NA
7,2010,coral,NA
7,2011,coral,NA
7,2012,coral,NA
7,2013,coral,NA
7,2014,coral,NA
7,2015,coral,NA
8,2009,coral,NA
8,2010,coral,NA
8,2011,coral,NA
8,2012,coral,NA
8,2013,coral,NA
8,2014,coral,NA
8,2015,coral,NA
