region,species,iucn,references
jembrana,ctenactis albitentaculata,NT,hoeksema and putra (2000)
buleleng,ctenactis albitentaculata,NT,hoeksema and putra (2000)
karangasem,ctenactis albitentaculata,NT,hoeksema and putra (2000)
jembrana,ctenactis crassa,LC,hoeksema and putra (2000)
buleleng,ctenactis crassa,LC,hoeksema and putra (2000)
karangasem,ctenactis crassa,LC,hoeksema and putra (2000)
jembrana,ctenactis echinata,LC,hoeksema and putra (2000)
buleleng,ctenactis echinata,LC,hoeksema and putra (2000)
karangasem,ctenactis echinata,LC,hoeksema and putra (2000)
denpasar,ctenactis echinata,LC,hoeksema and putra (2000)
badung,ctenactis echinata,LC,hoeksema and putra (2000)
jembrana,fungia costulata,LC,hoeksema and putra (2000)
buleleng,fungia costulata,LC,hoeksema and putra (2000)
karangasem,fungia costulata,LC,hoeksema and putra (2000)
denpasar,fungia costulata,LC,hoeksema and putra (2000)
badung,fungia costulata,LC,hoeksema and putra (2000)
karangasem,fungia cyclolites,LC,hoeksema and putra (2000)
denpasar,fungia cyclolites,LC,hoeksema and putra (2000)
badung,fungia cyclolites,LC,hoeksema and putra (2000)
karangasem,fungia fragilis,LC,hoeksema and putra (2000)
denpasar,fungia fragilis,LC,hoeksema and putra (2000)
badung,fungia fragilis,LC,hoeksema and putra (2000)
karangasem,fungia sinensis,LC,hoeksema and putra (2000)
denpasar,fungia sinensis,LC,hoeksema and putra (2000)
badung,fungia sinensis,LC,hoeksema and putra (2000)
jembrana,fungia horrida,LC,hoeksema and putra (2000)
buleleng,fungia horrida,LC,hoeksema and putra (2000)
karangasem,fungia horrida,LC,hoeksema and putra (2000)
denpasar,fungia horrida,LC,hoeksema and putra (2000)
badung,fungia horrida,LC,hoeksema and putra (2000)
jembrana,fungia scruposa,LC,hoeksema and putra (2000)
buleleng,fungia scruposa,LC,hoeksema and putra (2000)
karangasem,fungia scruposa,LC,hoeksema and putra (2000)
denpasar,fungia scruposa,LC,hoeksema and putra (2000)
badung,fungia scruposa,LC,hoeksema and putra (2000)
jembrana,fungia fungites,NT,hoeksema and putra (2000)
buleleng,fungia fungites,NT,hoeksema and putra (2000)
karangasem,fungia fungites,NT,hoeksema and putra (2000)
denpasar,fungia fungites,NT,hoeksema and putra (2000)
badung,fungia fungites,NT,hoeksema and putra (2000)
bali,caesio xanthonata,LC,allen and erdmann (2011)
bali,parupeneus macronemus,LC,allen and erdmann (2011)
bali,chaetodon collare,LC,allen and erdmann (2011)
bali,chaetodon decussates,LC,allen and erdmann (2011)
bali,chaetodon guttassimus,LC,allen and erdmann (2011)
bali,chaetodon trifasciatus,LC,allen and erdmann (2011)
klungkung,pseudochromis aurulentus,NE,allen and erdmann (2011)
klungkung,pseudochromis rutilus,NE,allen and erdmann (2011)
klungkung,prionurus chrysurus,DD,allen and erdmann (2011)
klungkung,rhinocodon typus,NE,allen and erdmann (2011)
klungkung,alopias pelagicus,VU,allen and erdmann (2011)
klungkung,orectolobus japonicus,DD,allen and erdmann (2011)
klungkung,carcharhinus amblyrhynchos,NT,allen and erdmann (2011)
karangasem,triaenodon obesus,NT,allen and erdmann (2011)
buleleng,triaenodon obesus,NT,allen and erdmann (2011)
klungkung,dasyatis kuhlii,NE,allen and erdmann (2011)
karangasem,dasyatis kuhlii,NE,allen and erdmann (2011)
buleleng,dasyatis kuhlii,NE,allen and erdmann (2011)
karangasem,taeniura lymma,NT,allen and erdmann (2011)
buleleng,taeniura lymma,NT,allen and erdmann (2011)
klungkung,aetobatus narinari,NT,allen and erdmann (2011)
klungkung,manta birostris,VU,allen and erdmann (2011)
klungkung,moringua microchir,NE,allen and erdmann (2011)
klungkung,kaupichthys diodontus,NE,allen and erdmann (2011)
klungkung,echidna nebulosa,NE,allen and erdmann (2011)
karangasem,echidna nebulosa,NE,allen and erdmann (2011)
buleleng,echidna nebulosa,NE,allen and erdmann (2011)
karangasem,gymnothorax angusticauda,NE,allen and erdmann (2011)
buleleng,gymnothorax angusticauda,NE,allen and erdmann (2011)
klungkung,gymnothorax chilospilus,NE,allen and erdmann (2011)
klungkung,gymnothorax fimbriatus,NE,allen and erdmann (2011)
karangasem,gymnothorax fimbriatus,NE,allen and erdmann (2011)
buleleng,gymnothorax fimbriatus,NE,allen and erdmann (2011)
karangasem,gymnothorax javanicus,NE,allen and erdmann (2011)
buleleng,gymnothorax javanicus,NE,allen and erdmann (2011)
klungkung,plotosus lineatus,NE,allen and erdmann (2011)
karangasem,plotosus lineatus,NE,allen and erdmann (2011)
buleleng,plotosus lineatus,NE,allen and erdmann (2011)
jembrana,plotosus lineatus,NE,allen and erdmann (2011)
jembrana,eurypegasus draconis,LC,allen and erdmann (2011)
jembrana,pegasus volitans,DD,allen and erdmann (2011)
klungkung,aulostomus chinensis,LC,allen and erdmann (2011)
karangasem,aulostomus chinensis,LC,allen and erdmann (2011)
buleleng,aulostomus chinensis,LC,allen and erdmann (2011)
klungkung,fistularia commersonii,LC,allen and erdmann (2011)
karangasem,fistularia commersonii,LC,allen and erdmann (2011)
buleleng,fistularia commersonii,LC,allen and erdmann (2011)
karangasem,aeoliscus strigatus,DD,allen and erdmann (2011)
buleleng,aeoliscus strigatus,DD,allen and erdmann (2011)
jembrana,aeoliscus strigatus,DD,allen and erdmann (2011)
jembrana,centriscus cristatus,DD,allen and erdmann (2011)
denpasar,rhizophora mucronata,LC,wiyanto dan faiqoh (2015)
badung,rhizophora mucronata,LC,wiyanto dan faiqoh (2015)
denpasar,rhizophora apiculata,LC,wiyanto dan faiqoh (2015)
badung,rhizophora apiculata,LC,wiyanto dan faiqoh (2015)
denpasar,sonneratia alba,LC,wiyanto dan faiqoh (2015)
badung,sonneratia alba,LC,wiyanto dan faiqoh (2015)
denpasar,rhizophora stylosa,LC,wiyanto dan faiqoh (2015)
badung,rhizophora stylosa,LC,wiyanto dan faiqoh (2015)
denpasar,avicennia marina,LC,wiyanto dan faiqoh (2015)
badung,avicennia marina,LC,wiyanto dan faiqoh (2015)
denpasar,bruguiera gymnorrhyza,NE,wiyanto dan faiqoh (2015)
badung,bruguiera gymnorrhyza,NE,wiyanto dan faiqoh (2015)
denpasar,Xylocarpus granatum,LC,wiyanto dan faiqoh (2015)
badung,Xylocarpus granatum,LC,wiyanto dan faiqoh (2015)
denpasar,sonneratia caseolaris,LC,wiyanto dan faiqoh (2015)
badung,sonneratia caseolaris,LC,wiyanto dan faiqoh (2015)
denpasar,avicennia officinalis,LC,wiyanto dan faiqoh (2015)
badung,avicennia officinalis,LC,wiyanto dan faiqoh (2015)
badung,turritella cochlea,NE,faiqoh et al (2016)
badung,cyprae kieneri,NE,faiqoh et al (2016)
klungkung,acropora yongei,LC,turak and devantier (2011)
klungkung,acropora sukarnoi,LC,turak and devantier (2011)
klungkung,goniopora tenuidens,LC,turak and devantier (2011)
bali,stylocoeniella armata,LC,turak and devantier (2011)
