region;species;iucn;references;id
jembrana;ctenactis albitentaculata;NT;hoeksema and putra (2000);1
buleleng;ctenactis albitentaculata;NT;hoeksema and putra (2000);8
karangasem;ctenactis albitentaculata;NT;hoeksema and putra (2000);7
jembrana;ctenactis crassa;LC;hoeksema and putra (2000);1
buleleng;ctenactis crassa;LC;hoeksema and putra (2000);8
karangasem;ctenactis crassa;LC;hoeksema and putra (2000);7
jembrana;ctenactis echinata;LC;hoeksema and putra (2000);1
buleleng;ctenactis echinata;LC;hoeksema and putra (2000);8
karangasem;ctenactis echinata;LC;hoeksema and putra (2000);7
denpasar;ctenactis echinata;LC;hoeksema and putra (2000);9
badung;ctenactis echinata;LC;hoeksema and putra (2000);3
jembrana;fungia costulata;LC;hoeksema and putra (2000);1
buleleng;fungia costulata;LC;hoeksema and putra (2000);8
karangasem;fungia costulata;LC;hoeksema and putra (2000);7
denpasar;fungia costulata;LC;hoeksema and putra (2000);9
badung;fungia costulata;LC;hoeksema and putra (2000);3
karangasem;fungia cyclolites;LC;hoeksema and putra (2000);7
denpasar;fungia cyclolites;LC;hoeksema and putra (2000);9
badung;fungia cyclolites;LC;hoeksema and putra (2000);3
karangasem;fungia fragilis;LC;hoeksema and putra (2000);7
denpasar;fungia fragilis;LC;hoeksema and putra (2000);9
badung;fungia fragilis;LC;hoeksema and putra (2000);3
karangasem;fungia sinensis;LC;hoeksema and putra (2000);7
denpasar;fungia sinensis;LC;hoeksema and putra (2000);9
badung;fungia sinensis;LC;hoeksema and putra (2000);3
jembrana;fungia horrida;LC;hoeksema and putra (2000);1
buleleng;fungia horrida;LC;hoeksema and putra (2000);8
karangasem;fungia horrida;LC;hoeksema and putra (2000);7
denpasar;fungia horrida;LC;hoeksema and putra (2000);9
badung;fungia horrida;LC;hoeksema and putra (2000);3
jembrana;fungia scruposa;LC;hoeksema and putra (2000);1
buleleng;fungia scruposa;LC;hoeksema and putra (2000);8
karangasem;fungia scruposa;LC;hoeksema and putra (2000);7
denpasar;fungia scruposa;LC;hoeksema and putra (2000);9
badung;fungia scruposa;LC;hoeksema and putra (2000);3
jembrana;fungia fungites;NT;hoeksema and putra (2000);1
buleleng;fungia fungites;NT;hoeksema and putra (2000);8
karangasem;fungia fungites;NT;hoeksema and putra (2000);7
denpasar;fungia fungites;NT;hoeksema and putra (2000);9
badung;fungia fungites;NT;hoeksema and putra (2000);3
bali;caesio xanthonata;LC;allen and erdmann (2011);0
bali;parupeneus macronemus;LC;allen and erdmann (2011);0
bali;chaetodon collare;LC;allen and erdmann (2011);0
bali;chaetodon decussates;LC;allen and erdmann (2011);0
bali;chaetodon guttassimus;LC;allen and erdmann (2011);0
bali;chaetodon trifasciatus;LC;allen and erdmann (2011);0
klungkung;pseudochromis aurulentus;NE;allen and erdmann (2011);5
klungkung;pseudochromis rutilus;NE;allen and erdmann (2011);5
klungkung;prionurus chrysurus;DD;allen and erdmann (2011);5
klungkung;rhinocodon typus;NE;allen and erdmann (2011);5
klungkung;alopias pelagicus;VU;allen and erdmann (2011);5
klungkung;orectolobus japonicus;DD;allen and erdmann (2011);5
klungkung;carcharhinus amblyrhynchos;NT;allen and erdmann (2011);5
karangasem;triaenodon obesus;NT;allen and erdmann (2011);7
buleleng;triaenodon obesus;NT;allen and erdmann (2011);8
klungkung;dasyatis kuhlii;NE;allen and erdmann (2011);5
karangasem;dasyatis kuhlii;NE;allen and erdmann (2011);7
buleleng;dasyatis kuhlii;NE;allen and erdmann (2011);8
karangasem;taeniura lymma;NT;allen and erdmann (2011);7
buleleng;taeniura lymma;NT;allen and erdmann (2011);8
klungkung;aetobatus narinari;NT;allen and erdmann (2011);5
