region,Y_2016,Y_2015,Y_2014,Y_2013,Y_2012,Y_2011
Jembrana,273.3,271.6,269.8,268,266.2,264.4
Tabanan,438.5,435.9,433.3,430.6,427.8,425.1
Badung,630,616.4,602.7,589,575,560.9
Gianyar,499.6,495.1,490.5,486,481.2,476.5
Klungkung,171.1,175.7,174.8,173.9,172.9,172.1
Karangasem,397.8,408.7,406.6,404.3,402.2,400
Buleleng,626.2,646.2,642.3,638.3,634.3,630.3
Denpasar,793,880.6,863.6,846.2,828.9,810.9
