rgn_id,year,km2
1,2011,7.345
1,2012,7.345
1,2013,7.345
1,2014,7.345
1,2015,7.345
1,2016,7.345
2,2011,6.390000000000001
2,2012,6.390000000000001
2,2013,6.390000000000001
2,2014,6.390000000000001
2,2015,6.390000000000001
2,2016,6.390000000000001
3,2011,NA
3,2012,NA
3,2013,NA
3,2014,NA
3,2015,NA
3,2016,NA
4,2011,35.3252
4,2012,35.3252
4,2013,35.3252
4,2014,35.3252
4,2015,35.3252
4,2016,35.3252
5,2011,140.41
5,2012,140.41
5,2013,140.41
5,2014,140.41
5,2015,140.41
5,2016,140.41
6,2011,NA
6,2012,NA
6,2013,NA
6,2014,NA
6,2015,NA
6,2016,NA
7,2011,200.57
7,2012,200.57
7,2013,200.57
7,2014,200.57
7,2015,200.57
7,2016,200.57
8,2011,NA
8,2012,NA
8,2013,NA
8,2014,NA
8,2015,NA
8,2016,NA
