rgn_id,years,location,unit
1,2009,serangan,20478
1,2010,serangan,89822
1,2011,serangan,146528
1,2012,serangan,168886
1,2013,serangan,167795
1,2014,serangan,212361
1,2009,mangrove_park,3489
1,2010,mangrove_park,2700
1,2011,mangrove_park,1752
1,2012,mangrove_park,5110
1,2013,mangrove_park,3877
1,2014,mangrove_park,3204
2,2009,uluwatu,358304
2,2010,uluwatu,404720
2,2011,uluwatu,297646
2,2012,uluwatu,803567
2,2013,uluwatu,820999
2,2014,uluwatu,1129306
7,2009,nusa_penida,
7,2010,nusa_penida,44669
7,2011,nusa_penida,132095
7,2012,nusa_penida,127836
7,2013,nusa_penida,185909
7,2014,nusa_penida,220751
6,2009,padang_bai,27526
6,2010,padang_bai,44262
6,2011,padang_bai,29672
6,2012,padang_bai,51213
6,2013,padang_bai,7317
6,2014,padang_bai,16883
6,2009,amed,
6,2010,amed,8828
6,2011,amed,8639
6,2012,amed,5706
6,2013,amed,9920
6,2014,amed,8640
6,2009,candidasa,2832
6,2010,candidasa,7473
6,2011,candidasa,855
6,2012,candidasa,628
6,2013,candidasa,1667
6,2014,candidasa,89506
6,2009,tulamben,27180
6,2010,tulamben,27347
6,2011,tulamben,42453
6,2012,tulamben,131783
6,2013,tulamben,73135
6,2014,tulamben,77842
5,2009,lovina,76020
5,2010,lovina,83026
5,2011,lovina,75946
5,2012,lovina,86530
5,2013,lovina,83575
5,2014,lovina,79758
5,2009,TNBB,
5,2010,TNBB,24815
5,2011,TNBB,
5,2012,TNBB,49920
5,2013,TNBB,44343
5,2014,TNBB,2480
3,2009,tanah_lot,1789735
3,2010,tanah_lot,2142913
3,2011,tanah_lot,2312252
3,2012,tanah_lot,3092434
3,2013,tanah_lot,3045688
3,2014,tanah_lot,3123205
4,2009,Pantai_medewi,
4,2010,Pantai_medewi,
4,2011,Pantai_medewi,4913
4,2012,Pantai_medewi,2850
4,2013,Pantai_medewi,3805
4,2014,Pantai_medewi,3935
4,2009,Rambut_Siwi,
4,2010,Rambut_Siwi,
4,2011,Rambut_Siwi,4916
4,2012,Rambut_Siwi,5112
4,2013,Rambut_Siwi,3108
4,2014,Rambut_Siwi,4343
4,2009,Pantai_delod_berawah,12959
4,2010,Pantai_delod_berawah,14852
4,2011,Pantai_delod_berawah,8950
4,2012,Pantai_delod_berawah,11048
4,2013,Pantai_delod_berawah,42166
4,2014,Pantai_delod_berawah,20244
4,2009,Pantai_baluk_rening,32731
4,2010,Pantai_baluk_rening,21917
4,2011,Pantai_baluk_rening,42653
4,2012,Pantai_baluk_rening,47131
4,2013,Pantai_baluk_rening,31281
4,2014,Pantai_baluk_rening,30663
4,2009,Pantai_perancak,
4,2010,Pantai_perancak,
4,2011,Pantai_perancak,1298
4,2012,Pantai_perancak,1929
4,2013,Pantai_perancak,2684
4,2014,Pantai_perancak,2309
4,2009,Pantai_candi_kusuma,
4,2010,Pantai_candi_kusuma,
4,2011,Pantai_candi_kusuma,1306
4,2012,Pantai_candi_kusuma,1509
4,2013,Pantai_candi_kusuma,1788
4,2014,Pantai_candi_kusuma,2075
4,2009,Pantai_pengeragoan,
4,2010,Pantai_pengeragoan,8095
4,2011,Pantai_pengeragoan,4574
4,2012,Pantai_pengeragoan,4945
4,2013,Pantai_pengeragoan,22604
4,2014,Pantai_pengeragoan,11130
4,2009,Pantai_gumrih,
4,2010,Pantai_gumrih,1376
4,2011,Pantai_gumrih,2217
4,2012,Pantai_gumrih,4044
4,2013,Pantai_gumrih,8615
4,2014,Pantai_gumrih,7929
4,2009,Pantai_pekutatan,
4,2010,Pantai_pekutatan,
4,2011,Pantai_pekutatan,2891
4,2012,Pantai_pekutatan,4981
4,2013,Pantai_pekutatan,3923
4,2014,Pantai_pekutatan,3288
4,2009,gilimanuk,
4,2010,gilimanuk,2918
4,2011,gilimanuk,2672
4,2012,gilimanuk,1919
4,2013,gilimanuk,1339
4,2014,gilimanuk,2652
