sciname,category
Balaenoptera edeni,LC
Ziphius cavirotris,LC
Dugong dugon,VU
Pseudorca crassidens,DD
Pterapogon kauderni,EN
Carcharhinus longimanus,VU
Mola mola,VU
Cuora amboinensis,VU
Amyda cartilaginea,VU
Manta alfredi,VU
Chelonia mydas,EN
Lepidochelys olivacea,VU
Physeter macrocephalus,VU
Stenella attenuata,LC
Panulirus versicolor,LC
