rgn_id,year,sciname,category
1,2012,Balaenoptera edeni,LC
1,2012,Ziphius cavirotris,LC
1,2012,Dugong dugon,VU
1,2012,Pseudorca crassidens,DD
1,2012,Pterapogon kauderni,EN
1,2012,Carcharhinus longimanus,VU
1,2012,Mola mola,VU
1,2012,Cuora amboinensis,VU
1,2012,Amyda cartilaginea,VU
1,2012,Manta alfredi,VU
1,2012,Chelonia mydas,EN
1,2012,Lepidochelys olivacea,VU
1,2012,Physeter macrocephalus,VU
1,2012,Stenella attenuata,LC
1,2012,Panulirus versicolor,LC
1,2013,Balaenoptera edeni,LC
1,2013,Ziphius cavirotris,LC
1,2013,Dugong dugon,VU
1,2013,Pseudorca crassidens,DD
1,2013,Pterapogon kauderni,EN
1,2013,Carcharhinus longimanus,VU
1,2013,Mola mola,VU
1,2013,Cuora amboinensis,VU
1,2013,Amyda cartilaginea,VU
1,2013,Manta alfredi,VU
1,2013,Chelonia mydas,EN
1,2013,Lepidochelys olivacea,VU
1,2013,Physeter macrocephalus,VU
1,2013,Stenella attenuata,LC
1,2013,Panulirus versicolor,LC
1,2014,Balaenoptera edeni,LC
1,2014,Ziphius cavirotris,LC
1,2014,Dugong dugon,VU
1,2014,Pseudorca crassidens,DD
1,2014,Pterapogon kauderni,EN
1,2014,Carcharhinus longimanus,VU
1,2014,Mola mola,VU
1,2014,Cuora amboinensis,VU
1,2014,Amyda cartilaginea,VU
1,2014,Manta alfredi,VU
1,2014,Chelonia mydas,EN
1,2014,Lepidochelys olivacea,VU
1,2014,Physeter macrocephalus,VU
1,2014,Stenella attenuata,LC
1,2014,Panulirus versicolor,LC
1,2015,Balaenoptera edeni,LC
1,2015,Ziphius cavirotris,LC
1,2015,Dugong dugon,VU
1,2015,Pseudorca crassidens,DD
1,2015,Pterapogon kauderni,EN
1,2015,Carcharhinus longimanus,VU
1,2015,Mola mola,VU
1,2015,Cuora amboinensis,VU
1,2015,Amyda cartilaginea,VU
1,2015,Manta alfredi,VU
1,2015,Chelonia mydas,EN
1,2015,Lepidochelys olivacea,VU
1,2015,Physeter macrocephalus,VU
1,2015,Stenella attenuata,LC
1,2015,Panulirus versicolor,LC
1,2016,Balaenoptera edeni,LC
1,2016,Ziphius cavirotris,LC
1,2016,Dugong dugon,VU
1,2016,Pseudorca crassidens,DD
1,2016,Pterapogon kauderni,EN
1,2016,Carcharhinus longimanus,VU
1,2016,Mola mola,VU
1,2016,Cuora amboinensis,VU
1,2016,Amyda cartilaginea,VU
1,2016,Manta alfredi,VU
1,2016,Chelonia mydas,EN
1,2016,Lepidochelys olivacea,VU
1,2016,Physeter macrocephalus,VU
1,2016,Stenella attenuata,LC
1,2016,Panulirus versicolor,LC
2,2012,Balaenoptera edeni,LC
2,2012,Ziphius cavirotris,LC
2,2012,Dugong dugon,VU
2,2012,Pseudorca crassidens,DD
2,2012,Pterapogon kauderni,EN
2,2012,Carcharhinus longimanus,VU
2,2012,Mola mola,VU
2,2012,Cuora amboinensis,VU
2,2012,Amyda cartilaginea,VU
2,2012,Manta alfredi,VU
2,2012,Chelonia mydas,EN
2,2012,Lepidochelys olivacea,VU
2,2012,Physeter macrocephalus,VU
2,2012,Stenella attenuata,LC
2,2012,Panulirus versicolor,LC
2,2013,Balaenoptera edeni,LC
2,2013,Ziphius cavirotris,LC
2,2013,Dugong dugon,VU
2,2013,Pseudorca crassidens,DD
2,2013,Pterapogon kauderni,EN
2,2013,Carcharhinus longimanus,VU
2,2013,Mola mola,VU
2,2013,Cuora amboinensis,VU
2,2013,Amyda cartilaginea,VU
2,2013,Manta alfredi,VU
2,2013,Chelonia mydas,EN
2,2013,Lepidochelys olivacea,VU
2,2013,Physeter macrocephalus,VU
2,2013,Stenella attenuata,LC
2,2013,Panulirus versicolor,LC
2,2014,Balaenoptera edeni,LC
2,2014,Ziphius cavirotris,LC
2,2014,Dugong dugon,VU
2,2014,Pseudorca crassidens,DD
2,2014,Pterapogon kauderni,EN
2,2014,Carcharhinus longimanus,VU
2,2014,Mola mola,VU
2,2014,Cuora amboinensis,VU
2,2014,Amyda cartilaginea,VU
2,2014,Manta alfredi,VU
2,2014,Chelonia mydas,EN
2,2014,Lepidochelys olivacea,VU
2,2014,Physeter macrocephalus,VU
2,2014,Stenella attenuata,LC
2,2014,Panulirus versicolor,LC
2,2015,Balaenoptera edeni,LC
2,2015,Ziphius cavirotris,LC
2,2015,Dugong dugon,VU
2,2015,Pseudorca crassidens,DD
2,2015,Pterapogon kauderni,EN
2,2015,Carcharhinus longimanus,VU
2,2015,Mola mola,VU
2,2015,Cuora amboinensis,VU
2,2015,Amyda cartilaginea,VU
2,2015,Manta alfredi,VU
2,2015,Chelonia mydas,EN
2,2015,Lepidochelys olivacea,VU
2,2015,Physeter macrocephalus,VU
2,2015,Stenella attenuata,LC
2,2015,Panulirus versicolor,LC
2,2016,Balaenoptera edeni,LC
2,2016,Ziphius cavirotris,LC
2,2016,Dugong dugon,VU
2,2016,Pseudorca crassidens,DD
2,2016,Pterapogon kauderni,EN
2,2016,Carcharhinus longimanus,VU
2,2016,Mola mola,VU
2,2016,Cuora amboinensis,VU
2,2016,Amyda cartilaginea,VU
2,2016,Manta alfredi,VU
2,2016,Chelonia mydas,EN
2,2016,Lepidochelys olivacea,VU
